kernel,M,N,tile_rows,tile_cols,rep,time_ms,bw_gbs,checksum,status
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,0,5.069792,1694.337,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,1,5.063776,1696.350,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,2,5.065472,1695.782,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,3,5.063840,1696.328,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,4,5.065856,1695.653,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,5,5.065664,1695.717,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,6,5.065120,1695.899,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,7,5.066048,1695.589,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,8,5.066656,1695.385,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,9,5.066464,1695.450,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,10,5.066592,1695.407,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,11,5.066880,1695.310,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,12,5.067872,1694.979,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,13,5.067456,1695.118,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,14,5.068032,1694.925,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,15,5.067456,1695.118,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,16,5.068704,1694.700,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,17,5.067744,1695.021,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,18,5.067264,1695.182,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,19,5.067744,1695.021,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,20,5.067360,1695.150,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,21,5.067328,1695.161,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,22,5.067360,1695.150,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,23,5.067104,1695.236,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,24,5.067392,1695.139,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,25,5.067360,1695.150,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,26,5.066496,1695.439,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,27,5.066144,1695.557,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,28,5.066112,1695.567,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,29,5.066688,1695.375,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,30,5.066720,1695.364,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,31,5.066048,1695.589,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,32,5.066112,1695.567,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,33,5.066560,1695.418,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,34,5.067040,1695.257,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,35,5.067648,1695.054,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,36,5.067552,1695.086,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,37,5.067296,1695.171,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,38,5.066912,1695.300,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,39,5.067712,1695.032,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,40,5.067648,1695.054,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,41,5.070208,1694.198,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,42,5.066784,1695.343,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,43,5.067840,1694.989,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,44,5.067904,1694.968,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,45,5.067232,1695.193,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,46,5.067968,1694.947,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,47,5.067808,1695.000,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,48,5.068704,1694.700,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,49,5.068768,1694.679,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,50,5.067456,1695.118,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,51,5.067456,1695.118,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,52,5.066528,1695.428,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,53,5.067072,1695.246,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,54,5.067456,1695.118,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,55,5.067488,1695.107,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,56,5.067520,1695.096,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,57,5.067456,1695.118,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,58,5.067616,1695.064,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,59,5.067776,1695.011,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,60,5.067328,1695.161,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,61,5.067424,1695.129,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,62,5.068128,1694.893,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,63,5.068128,1694.893,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,64,5.067392,1695.139,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,65,5.068800,1694.668,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,66,5.067328,1695.161,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,67,5.067200,1695.203,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,68,5.068032,1694.925,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,69,5.067488,1695.107,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,70,5.066272,1695.514,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,71,5.066496,1695.439,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,72,5.066912,1695.300,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,73,5.067584,1695.075,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,74,5.066944,1695.289,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,75,5.066464,1695.450,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,76,5.065952,1695.621,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,77,5.066944,1695.289,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,78,5.067488,1695.107,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,79,5.066848,1695.321,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,80,5.066432,1695.460,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,81,5.066528,1695.428,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,82,5.067808,1695.000,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,83,5.066592,1695.407,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,84,5.066624,1695.396,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,85,5.067360,1695.150,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,86,5.066304,1695.503,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,87,5.068064,1694.914,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,88,5.067136,1695.225,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,89,5.066240,1695.525,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,90,5.067136,1695.225,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,91,5.066752,1695.353,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,92,5.068384,1694.807,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,93,5.066432,1695.460,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,94,5.066624,1695.396,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,95,5.067264,1695.182,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,96,5.066304,1695.503,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,97,5.067040,1695.257,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,98,5.066880,1695.310,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,99,5.067232,1695.193,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,0,2.902336,2959.662,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,1,2.895552,2966.597,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,2,2.896064,2966.072,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,3,2.894656,2967.515,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,4,2.895040,2967.121,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,5,2.894368,2967.810,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,6,2.894720,2967.449,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,7,2.894080,2968.106,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,8,2.895008,2967.154,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,9,2.894112,2968.073,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,10,2.894432,2967.744,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,11,2.893888,2968.302,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,12,2.894848,2967.318,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,13,2.893824,2968.368,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,14,2.894112,2968.073,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,15,2.894400,2967.777,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,16,2.893952,2968.237,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,17,2.894688,2967.482,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,18,2.893440,2968.762,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=4  TY=1   tile=1x128",16384,16384,1,128,19,2.893472,2968.729,2.681670e+09,PASS
