backend,V,nlev,N_e,cell_dist,config_label,run_label,run_id,time_ms
gpu,1,256,163840,uniform,V1_bx64,run0,0,0.851904
gpu,1,256,163840,uniform,V1_bx64,run1,1,0.844864
gpu,1,256,163840,uniform,V1_bx64,run2,2,0.845344
gpu,1,256,163840,uniform,V1_bx64,run3,3,0.849952
gpu,1,256,163840,uniform,V1_bx64,run4,4,0.847136
gpu,1,256,163840,uniform,V1_bx64,run5,5,0.844064
gpu,1,256,163840,uniform,V1_bx64,run6,6,0.846656
gpu,1,256,163840,uniform,V1_bx64,run7,7,0.849696
gpu,1,256,163840,uniform,V1_bx64,run8,8,0.847424
gpu,1,256,163840,uniform,V1_bx64,run9,9,0.845728
gpu,1,256,163840,uniform,V1_bx64,run10,10,0.849088
gpu,1,256,163840,uniform,V1_bx64,run11,11,0.846176
gpu,1,256,163840,uniform,V1_bx64,run12,12,0.847296
gpu,1,256,163840,uniform,V1_bx64,run13,13,0.845664
gpu,1,256,163840,uniform,V1_bx64,run14,14,0.843936
gpu,1,256,163840,uniform,V1_bx64,run15,15,0.846432
gpu,1,256,163840,uniform,V1_bx64,run16,16,0.847680
gpu,1,256,163840,uniform,V1_bx64,run17,17,0.847360
gpu,1,256,163840,uniform,V1_bx64,run18,18,0.848096
gpu,1,256,163840,uniform,V1_bx64,run19,19,0.846048
gpu,1,256,163840,uniform,V1_bx64,run20,20,0.846304
gpu,1,256,163840,uniform,V1_bx64,run21,21,0.844800
gpu,1,256,163840,uniform,V1_bx64,run22,22,0.845056
gpu,1,256,163840,uniform,V1_bx64,run23,23,0.845536
gpu,1,256,163840,uniform,V1_bx64,run24,24,0.844800
gpu,1,256,163840,uniform,V1_bx64,run25,25,0.847520
gpu,1,256,163840,uniform,V1_bx64,run26,26,0.846368
gpu,1,256,163840,uniform,V1_bx64,run27,27,0.821792
gpu,1,256,163840,uniform,V1_bx64,run28,28,0.823072
gpu,1,256,163840,uniform,V1_bx64,run29,29,0.823968
gpu,1,256,163840,uniform,V1_bx64,run30,30,0.825024
gpu,1,256,163840,uniform,V1_bx64,run31,31,0.823392
gpu,1,256,163840,uniform,V1_bx64,run32,32,0.821568
gpu,1,256,163840,uniform,V1_bx64,run33,33,0.822240
gpu,1,256,163840,uniform,V1_bx64,run34,34,0.824992
gpu,1,256,163840,uniform,V1_bx64,run35,35,0.823680
gpu,1,256,163840,uniform,V1_bx64,run36,36,0.823328
gpu,1,256,163840,uniform,V1_bx64,run37,37,0.823712
gpu,1,256,163840,uniform,V1_bx64,run38,38,0.780640
gpu,1,256,163840,uniform,V1_bx64,run39,39,0.781792
gpu,1,256,163840,uniform,V1_bx64,run40,40,0.780096
gpu,1,256,163840,uniform,V1_bx64,run41,41,0.779872
gpu,1,256,163840,uniform,V1_bx64,run42,42,0.782336
gpu,1,256,163840,uniform,V1_bx64,run43,43,0.782272
gpu,1,256,163840,uniform,V1_bx64,run44,44,0.779712
gpu,1,256,163840,uniform,V1_bx64,run45,45,0.779584
gpu,1,256,163840,uniform,V1_bx64,run46,46,0.780928
gpu,1,256,163840,uniform,V1_bx64,run47,47,0.778976
gpu,1,256,163840,uniform,V1_bx64,run48,48,0.782400
gpu,1,256,163840,uniform,V1_bx64,run49,49,0.783200
gpu,1,256,163840,uniform,V1_bx64,run50,50,0.781696
gpu,1,256,163840,uniform,V1_bx64,run51,51,0.783424
gpu,1,256,163840,uniform,V1_bx64,run52,52,0.779808
gpu,1,256,163840,uniform,V1_bx64,run53,53,0.780800
gpu,1,256,163840,uniform,V1_bx64,run54,54,0.780960
gpu,1,256,163840,uniform,V1_bx64,run55,55,0.780096
gpu,1,256,163840,uniform,V1_bx64,run56,56,0.778976
gpu,1,256,163840,uniform,V1_bx64,run57,57,0.780320
gpu,1,256,163840,uniform,V1_bx64,run58,58,0.780000
gpu,1,256,163840,uniform,V1_bx64,run59,59,0.784608
gpu,1,256,163840,uniform,V1_bx64,run60,60,0.777408
gpu,1,256,163840,uniform,V1_bx64,run61,61,0.780128
gpu,1,256,163840,uniform,V1_bx64,run62,62,0.781184
gpu,1,256,163840,uniform,V1_bx64,run63,63,0.780448
gpu,1,256,163840,uniform,V1_bx64,run64,64,0.780288
gpu,1,256,163840,uniform,V1_bx64,run65,65,0.777728
gpu,1,256,163840,uniform,V1_bx64,run66,66,0.777280
gpu,1,256,163840,uniform,V1_bx64,run67,67,0.781920
gpu,1,256,163840,uniform,V1_bx64,run68,68,0.783584
gpu,1,256,163840,uniform,V1_bx64,run69,69,0.779584
gpu,1,256,163840,uniform,V1_bx64,run70,70,0.779904
gpu,1,256,163840,uniform,V1_bx64,run71,71,0.780608
gpu,1,256,163840,uniform,V1_bx64,run72,72,0.781184
gpu,1,256,163840,uniform,V1_bx64,run73,73,0.783104
gpu,1,256,163840,uniform,V1_bx64,run74,74,0.782304
gpu,1,256,163840,uniform,V1_bx64,run75,75,0.810112
gpu,1,256,163840,uniform,V1_bx64,run76,76,0.806560
gpu,1,256,163840,uniform,V1_bx64,run77,77,0.808128
gpu,1,256,163840,uniform,V1_bx64,run78,78,0.806688
gpu,1,256,163840,uniform,V1_bx64,run79,79,0.806816
gpu,1,256,163840,uniform,V1_bx64,run80,80,0.808576
gpu,1,256,163840,uniform,V1_bx64,run81,81,0.830496
gpu,1,256,163840,uniform,V1_bx64,run82,82,0.833792
gpu,1,256,163840,uniform,V1_bx64,run83,83,0.831488
gpu,1,256,163840,uniform,V1_bx64,run84,84,0.832544
gpu,1,256,163840,uniform,V1_bx64,run85,85,0.832096
gpu,1,256,163840,uniform,V1_bx64,run86,86,0.832256
gpu,1,256,163840,uniform,V1_bx64,run87,87,0.830208
gpu,1,256,163840,uniform,V1_bx64,run88,88,0.833184
gpu,1,256,163840,uniform,V1_bx64,run89,89,0.832576
gpu,1,256,163840,uniform,V1_bx64,run90,90,0.831872
gpu,1,256,163840,uniform,V1_bx64,run91,91,0.831840
gpu,1,256,163840,uniform,V1_bx64,run92,92,0.842176
gpu,1,256,163840,uniform,V1_bx64,run93,93,0.838112
gpu,1,256,163840,uniform,V1_bx64,run94,94,0.841600
gpu,1,256,163840,uniform,V1_bx64,run95,95,0.841824
gpu,1,256,163840,uniform,V1_bx64,run96,96,0.840704
gpu,1,256,163840,uniform,V1_bx64,run97,97,0.841056
gpu,1,256,163840,uniform,V1_bx64,run98,98,0.844192
gpu,1,256,163840,uniform,V1_bx64,run99,99,0.839360
gpu,1,256,163840,uniform,V1_bx128,run0,0,0.655392
gpu,1,256,163840,uniform,V1_bx128,run1,1,0.656512
gpu,1,256,163840,uniform,V1_bx128,run2,2,0.657024
gpu,1,256,163840,uniform,V1_bx128,run3,3,0.658784
gpu,1,256,163840,uniform,V1_bx128,run4,4,0.658848
gpu,1,256,163840,uniform,V1_bx128,run5,5,0.659264
gpu,1,256,163840,uniform,V1_bx128,run6,6,0.665984
gpu,1,256,163840,uniform,V1_bx128,run7,7,0.665120
gpu,1,256,163840,uniform,V1_bx128,run8,8,0.664992
gpu,1,256,163840,uniform,V1_bx128,run9,9,0.662976
gpu,1,256,163840,uniform,V1_bx128,run10,10,0.667840
gpu,1,256,163840,uniform,V1_bx128,run11,11,0.666400
gpu,1,256,163840,uniform,V1_bx128,run12,12,0.667136
gpu,1,256,163840,uniform,V1_bx128,run13,13,0.666400
gpu,1,256,163840,uniform,V1_bx128,run14,14,0.664256
gpu,1,256,163840,uniform,V1_bx128,run15,15,0.666240
gpu,1,256,163840,uniform,V1_bx128,run16,16,0.664640
gpu,1,256,163840,uniform,V1_bx128,run17,17,0.663392
gpu,1,256,163840,uniform,V1_bx128,run18,18,0.663264
gpu,1,256,163840,uniform,V1_bx128,run19,19,0.667328
gpu,1,256,163840,uniform,V1_bx128,run20,20,0.665792
gpu,1,256,163840,uniform,V1_bx128,run21,21,0.661536
gpu,1,256,163840,uniform,V1_bx128,run22,22,0.658080
gpu,1,256,163840,uniform,V1_bx128,run23,23,0.658560
gpu,1,256,163840,uniform,V1_bx128,run24,24,0.658560
gpu,1,256,163840,uniform,V1_bx128,run25,25,0.659008
gpu,1,256,163840,uniform,V1_bx128,run26,26,0.660544
gpu,1,256,163840,uniform,V1_bx128,run27,27,0.661792
gpu,1,256,163840,uniform,V1_bx128,run28,28,0.661632
gpu,1,256,163840,uniform,V1_bx128,run29,29,0.659776
gpu,1,256,163840,uniform,V1_bx128,run30,30,0.659936
gpu,1,256,163840,uniform,V1_bx128,run31,31,0.659936
gpu,1,256,163840,uniform,V1_bx128,run32,32,0.660320
gpu,1,256,163840,uniform,V1_bx128,run33,33,0.657888
gpu,1,256,163840,uniform,V1_bx128,run34,34,0.660704
gpu,1,256,163840,uniform,V1_bx128,run35,35,0.659360
gpu,1,256,163840,uniform,V1_bx128,run36,36,0.660032
gpu,1,256,163840,uniform,V1_bx128,run37,37,0.660768
gpu,1,256,163840,uniform,V1_bx128,run38,38,0.658016
gpu,1,256,163840,uniform,V1_bx128,run39,39,0.660704
gpu,1,256,163840,uniform,V1_bx128,run40,40,0.665280
gpu,1,256,163840,uniform,V1_bx128,run41,41,0.658720
gpu,1,256,163840,uniform,V1_bx128,run42,42,0.659104
gpu,1,256,163840,uniform,V1_bx128,run43,43,0.660672
gpu,1,256,163840,uniform,V1_bx128,run44,44,0.664000
gpu,1,256,163840,uniform,V1_bx128,run45,45,0.659328
gpu,1,256,163840,uniform,V1_bx128,run46,46,0.660576
gpu,1,256,163840,uniform,V1_bx128,run47,47,0.658528
gpu,1,256,163840,uniform,V1_bx128,run48,48,0.659456
gpu,1,256,163840,uniform,V1_bx128,run49,49,0.658432
gpu,1,256,163840,uniform,V1_bx128,run50,50,0.660576
gpu,1,256,163840,uniform,V1_bx128,run51,51,0.661696
gpu,1,256,163840,uniform,V1_bx128,run52,52,0.660704
gpu,1,256,163840,uniform,V1_bx128,run53,53,0.658240
gpu,1,256,163840,uniform,V1_bx128,run54,54,0.659808
gpu,1,256,163840,uniform,V1_bx128,run55,55,0.661312
gpu,1,256,163840,uniform,V1_bx128,run56,56,0.657696
gpu,1,256,163840,uniform,V1_bx128,run57,57,0.658368
gpu,1,256,163840,uniform,V1_bx128,run58,58,0.658528
gpu,1,256,163840,uniform,V1_bx128,run59,59,0.662112
gpu,1,256,163840,uniform,V1_bx128,run60,60,0.660064
gpu,1,256,163840,uniform,V1_bx128,run61,61,0.659936
gpu,1,256,163840,uniform,V1_bx128,run62,62,0.659392
gpu,1,256,163840,uniform,V1_bx128,run63,63,0.659904
gpu,1,256,163840,uniform,V1_bx128,run64,64,0.660864
gpu,1,256,163840,uniform,V1_bx128,run65,65,0.659840
gpu,1,256,163840,uniform,V1_bx128,run66,66,0.662464
gpu,1,256,163840,uniform,V1_bx128,run67,67,0.660704
gpu,1,256,163840,uniform,V1_bx128,run68,68,0.661248
gpu,1,256,163840,uniform,V1_bx128,run69,69,0.661408
gpu,1,256,163840,uniform,V1_bx128,run70,70,0.661056
gpu,1,256,163840,uniform,V1_bx128,run71,71,0.660224
gpu,1,256,163840,uniform,V1_bx128,run72,72,0.658912
gpu,1,256,163840,uniform,V1_bx128,run73,73,0.659264
gpu,1,256,163840,uniform,V1_bx128,run74,74,0.660224
gpu,1,256,163840,uniform,V1_bx128,run75,75,0.660672
gpu,1,256,163840,uniform,V1_bx128,run76,76,0.658848
gpu,1,256,163840,uniform,V1_bx128,run77,77,0.660896
gpu,1,256,163840,uniform,V1_bx128,run78,78,0.659904
gpu,1,256,163840,uniform,V1_bx128,run79,79,0.660800
gpu,1,256,163840,uniform,V1_bx128,run80,80,0.660704
gpu,1,256,163840,uniform,V1_bx128,run81,81,0.658304
gpu,1,256,163840,uniform,V1_bx128,run82,82,0.661312
gpu,1,256,163840,uniform,V1_bx128,run83,83,0.661344
gpu,1,256,163840,uniform,V1_bx128,run84,84,0.664160
gpu,1,256,163840,uniform,V1_bx128,run85,85,0.659040
gpu,1,256,163840,uniform,V1_bx128,run86,86,0.658624
gpu,1,256,163840,uniform,V1_bx128,run87,87,0.661152
gpu,1,256,163840,uniform,V1_bx128,run88,88,0.658976
gpu,1,256,163840,uniform,V1_bx128,run89,89,0.658784
gpu,1,256,163840,uniform,V1_bx128,run90,90,0.660544
gpu,1,256,163840,uniform,V1_bx128,run91,91,0.662144
gpu,1,256,163840,uniform,V1_bx128,run92,92,0.660352
gpu,1,256,163840,uniform,V1_bx128,run93,93,0.658880
gpu,1,256,163840,uniform,V1_bx128,run94,94,0.658400
gpu,1,256,163840,uniform,V1_bx128,run95,95,0.662624
gpu,1,256,163840,uniform,V1_bx128,run96,96,0.657312
gpu,1,256,163840,uniform,V1_bx128,run97,97,0.658656
gpu,1,256,163840,uniform,V1_bx128,run98,98,0.660384
