backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,jk_outer,0,0.152412
cpu,1,256,163840,uniform,V1,jk_outer,1,0.160347
cpu,1,256,163840,uniform,V1,jk_outer,2,0.151899
cpu,1,256,163840,uniform,V1,jk_outer,3,0.151452
cpu,1,256,163840,uniform,V1,jk_outer,4,0.151611
cpu,1,256,163840,uniform,V1,jk_outer,5,0.152572
cpu,1,256,163840,uniform,V1,jk_outer,6,0.150811
cpu,1,256,163840,uniform,V1,jk_outer,7,0.150939
cpu,1,256,163840,uniform,V1,jk_outer,8,0.153980
cpu,1,256,163840,uniform,V1,jk_outer,9,0.152187
cpu,1,256,163840,uniform,V1,jk_outer,10,0.150428
cpu,1,256,163840,uniform,V1,jk_outer,11,0.152827
cpu,1,256,163840,uniform,V1,jk_outer,12,0.164219
cpu,1,256,163840,uniform,V1,jk_outer,13,0.178618
cpu,1,256,163840,uniform,V1,jk_outer,14,0.204697
cpu,1,256,163840,uniform,V1,jk_outer,15,0.151131
cpu,1,256,163840,uniform,V1,jk_outer,16,0.152860
cpu,1,256,163840,uniform,V1,jk_outer,17,0.150619
cpu,1,256,163840,uniform,V1,jk_outer,18,0.150907
cpu,1,256,163840,uniform,V1,jk_outer,19,0.150939
cpu,1,256,163840,uniform,V1,jk_outer,20,0.151163
cpu,1,256,163840,uniform,V1,jk_outer,21,0.150684
cpu,1,256,163840,uniform,V1,jk_outer,22,0.189722
cpu,1,256,163840,uniform,V1,jk_outer,23,0.150107
cpu,1,256,163840,uniform,V1,jk_outer,24,0.150363
cpu,1,256,163840,uniform,V1,jk_outer,25,0.151900
cpu,1,256,163840,uniform,V1,jk_outer,26,0.151099
cpu,1,256,163840,uniform,V1,jk_outer,27,0.151323
cpu,1,256,163840,uniform,V1,jk_outer,28,0.160763
cpu,1,256,163840,uniform,V1,jk_outer,29,0.242969
cpu,1,256,163840,uniform,V1,jk_outer,30,0.151132
cpu,1,256,163840,uniform,V1,jk_outer,31,0.151675
cpu,1,256,163840,uniform,V1,jk_outer,32,0.151036
cpu,1,256,163840,uniform,V1,jk_outer,33,0.199642
cpu,1,256,163840,uniform,V1,jk_outer,34,0.149948
cpu,1,256,163840,uniform,V1,jk_outer,35,1.585168
cpu,1,256,163840,uniform,V1,jk_outer,36,0.154363
cpu,1,256,163840,uniform,V1,jk_outer,37,0.236473
cpu,1,256,163840,uniform,V1,jk_outer,38,0.184442
cpu,1,256,163840,uniform,V1,jk_outer,39,0.149947
cpu,1,256,163840,uniform,V1,jk_outer,40,0.163867
cpu,1,256,163840,uniform,V1,jk_outer,41,0.151259
cpu,1,256,163840,uniform,V1,jk_outer,42,0.149723
cpu,1,256,163840,uniform,V1,jk_outer,43,0.149916
cpu,1,256,163840,uniform,V1,jk_outer,44,0.149308
cpu,1,256,163840,uniform,V1,jk_outer,45,0.197946
cpu,1,256,163840,uniform,V1,jk_outer,46,0.151227
cpu,1,256,163840,uniform,V1,jk_outer,47,0.150555
cpu,1,256,163840,uniform,V1,jk_outer,48,0.149691
cpu,1,256,163840,uniform,V1,jk_outer,49,0.150459
cpu,1,256,163840,uniform,V1,jk_outer,50,0.150268
cpu,1,256,163840,uniform,V1,jk_outer,51,0.161403
cpu,1,256,163840,uniform,V1,jk_outer,52,0.258648
cpu,1,256,163840,uniform,V1,jk_outer,53,0.151035
cpu,1,256,163840,uniform,V1,jk_outer,54,0.150747
cpu,1,256,163840,uniform,V1,jk_outer,55,0.149659
