P,layout,run,ms,gbps
3,AoS,0,2.797536,1535.27
3,AoS,1,2.786176,1541.53
3,AoS,2,2.789728,1539.56
3,AoS,3,2.793920,1537.25
3,AoS,4,2.798464,1534.76
3,AoS,5,2.791136,1538.79
3,AoS,6,2.785280,1542.02
3,AoS,7,2.794752,1536.80
3,AoS,8,2.788320,1540.34
3,AoS,9,2.789952,1539.44
3,AoS,10,2.788576,1540.20
3,AoS,11,2.784576,1542.41
3,AoS,12,2.787392,1540.85
3,AoS,13,2.793568,1537.45
3,AoS,14,2.796576,1535.79
3,AoS,15,2.791488,1538.59
3,AoS,16,2.784960,1542.20
3,AoS,17,2.792608,1537.98
3,AoS,18,2.799456,1534.21
3,AoS,19,2.793760,1537.34
3,AoS,20,2.780960,1544.42
3,AoS,21,2.794784,1536.78
3,AoS,22,2.797024,1535.55
3,AoS,23,2.795936,1536.15
3,AoS,24,2.794656,1536.85
3,AoS,25,2.799072,1534.43
3,AoS,26,2.798240,1534.88
3,AoS,27,2.796192,1536.01
3,AoS,28,2.798432,1534.78
3,AoS,29,2.789568,1539.65
3,AoS,30,2.801216,1533.25
3,AoS,31,2.789760,1539.55
3,AoS,32,2.796928,1535.60
3,AoS,33,2.797472,1535.30
3,AoS,34,2.789760,1539.55
3,AoS,35,2.789440,1539.72
3,AoS,36,2.794880,1536.73
3,AoS,37,2.787552,1540.77
3,AoS,38,2.790272,1539.26
3,AoS,39,2.805248,1531.05
3,AoS,40,2.793792,1537.32
3,AoS,41,2.800160,1533.83
3,AoS,42,2.790176,1539.32
3,AoS,43,2.780736,1544.54
3,AoS,44,2.791136,1538.79
3,AoS,45,2.793568,1537.45
3,AoS,46,2.789600,1539.64
3,AoS,47,2.792224,1538.19
3,AoS,48,2.791904,1538.36
3,AoS,49,2.784448,1542.48
3,AoS,50,2.798240,1534.88
3,AoS,51,2.795200,1536.55
3,AoS,52,2.793184,1537.66
3,AoS,53,2.802592,1532.50
3,AoS,54,2.797824,1535.11
3,AoS,55,2.795072,1536.62
3,AoS,56,2.794144,1537.13
3,AoS,57,2.798528,1534.72
3,AoS,58,2.793120,1537.69
3,AoS,59,2.787104,1541.01
3,AoS,60,2.790944,1538.89
3,AoS,61,2.792896,1537.82
3,AoS,62,2.782400,1543.62
3,AoS,63,2.796832,1535.65
3,AoS,64,2.791392,1538.65
3,AoS,65,2.788736,1540.11
3,AoS,66,2.799744,1534.06
3,AoS,67,2.793184,1537.66
3,AoS,68,2.793472,1537.50
3,AoS,69,2.793152,1537.68
3,AoS,70,2.780192,1544.85
3,AoS,71,2.800256,1533.78
