backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,jk_outer,89,0.420122
cpu,1,256,163840,uniform,V1,jk_outer,90,0.497773
cpu,1,256,163840,uniform,V1,jk_outer,91,0.376812
cpu,1,256,163840,uniform,V1,jk_outer,92,0.409503
cpu,1,256,163840,uniform,V1,jk_outer,93,0.508573
cpu,1,256,163840,uniform,V1,jk_outer,94,0.490943
cpu,1,256,163840,uniform,V1,jk_outer,95,0.385533
cpu,1,256,163840,uniform,V1,jk_outer,96,0.390442
cpu,1,256,163840,uniform,V1,jk_outer,97,0.377953
cpu,1,256,163840,uniform,V1,jk_outer,98,0.484233
cpu,1,256,163840,uniform,V1,jk_outer,99,0.364362
cpu,1,256,163840,uniform,V1,collapse2,0,0.472832
cpu,1,256,163840,uniform,V1,collapse2,1,0.488863
cpu,1,256,163840,uniform,V1,collapse2,2,0.518523
cpu,1,256,163840,uniform,V1,collapse2,3,0.467893
cpu,1,256,163840,uniform,V1,collapse2,4,0.469703
cpu,1,256,163840,uniform,V1,collapse2,5,0.490323
cpu,1,256,163840,uniform,V1,collapse2,6,0.467293
cpu,1,256,163840,uniform,V1,collapse2,7,0.468973
cpu,1,256,163840,uniform,V1,collapse2,8,0.467412
cpu,1,256,163840,uniform,V1,collapse2,9,0.483903
cpu,1,256,163840,uniform,V1,collapse2,10,0.468743
cpu,1,256,163840,uniform,V1,collapse2,11,0.468983
cpu,1,256,163840,uniform,V1,collapse2,12,0.469853
cpu,1,256,163840,uniform,V1,collapse2,13,0.470063
cpu,1,256,163840,uniform,V1,collapse2,14,0.468813
cpu,1,256,163840,uniform,V1,collapse2,15,0.479283
cpu,1,256,163840,uniform,V1,collapse2,16,0.469822
cpu,1,256,163840,uniform,V1,collapse2,17,0.470343
cpu,1,256,163840,uniform,V1,collapse2,18,0.467713
cpu,1,256,163840,uniform,V1,collapse2,19,0.469753
cpu,1,256,163840,uniform,V1,collapse2,20,0.469163
cpu,1,256,163840,uniform,V1,collapse2,21,0.469893
cpu,1,256,163840,uniform,V1,collapse2,22,0.467253
cpu,1,256,163840,uniform,V1,collapse2,23,0.468883
cpu,1,256,163840,uniform,V1,collapse2,24,0.469743
cpu,1,256,163840,uniform,V1,collapse2,25,0.525484
cpu,1,256,163840,uniform,V1,collapse2,26,0.559704
cpu,1,256,163840,uniform,V1,collapse2,27,0.469512
cpu,1,256,163840,uniform,V1,collapse2,28,0.471493
cpu,1,256,163840,uniform,V1,collapse2,29,0.466613
cpu,1,256,163840,uniform,V1,collapse2,30,0.481623
cpu,1,256,163840,uniform,V1,collapse2,31,0.467253
cpu,1,256,163840,uniform,V1,collapse2,32,0.469263
cpu,1,256,163840,uniform,V1,collapse2,33,0.558043
cpu,1,256,163840,uniform,V1,collapse2,34,0.470993
cpu,1,256,163840,uniform,V1,collapse2,35,0.469943
cpu,1,256,163840,uniform,V1,collapse2,36,0.471283
cpu,1,256,163840,uniform,V1,collapse2,37,0.469913
cpu,1,256,163840,uniform,V1,collapse2,38,0.470943
cpu,1,256,163840,uniform,V1,collapse2,39,0.472593
cpu,1,256,163840,uniform,V1,collapse2,40,0.470213
cpu,1,256,163840,uniform,V1,collapse2,41,0.470033
cpu,1,256,163840,uniform,V1,collapse2,42,0.499533
cpu,1,256,163840,uniform,V1,collapse2,43,0.472943
cpu,1,256,163840,uniform,V1,collapse2,44,0.472633
cpu,1,256,163840,uniform,V1,collapse2,45,0.470733
cpu,1,256,163840,uniform,V1,collapse2,46,0.467323
cpu,1,256,163840,uniform,V1,collapse2,47,0.478203
cpu,1,256,163840,uniform,V1,collapse2,48,0.469793
cpu,1,256,163840,uniform,V1,collapse2,49,0.473293
cpu,1,256,163840,uniform,V1,collapse2,50,0.472083
cpu,1,256,163840,uniform,V1,collapse2,51,0.467703
cpu,1,256,163840,uniform,V1,collapse2,52,0.469843
cpu,1,256,163840,uniform,V1,collapse2,53,0.469413
cpu,1,256,163840,uniform,V1,collapse2,54,0.474603
cpu,1,256,163840,uniform,V1,collapse2,55,0.522033
cpu,1,256,163840,uniform,V1,collapse2,56,0.484684
cpu,1,256,163840,uniform,V1,collapse2,57,0.494823
cpu,1,256,163840,uniform,V1,collapse2,58,0.488443
cpu,1,256,163840,uniform,V1,collapse2,59,0.472073
cpu,1,256,163840,uniform,V1,collapse2,60,0.486973
cpu,1,256,163840,uniform,V1,collapse2,61,0.530284
cpu,1,256,163840,uniform,V1,collapse2,62,0.558753
cpu,1,256,163840,uniform,V1,collapse2,63,0.614884
cpu,1,256,163840,uniform,V1,collapse2,64,0.603583
cpu,1,256,163840,uniform,V1,collapse2,65,0.530333
cpu,1,256,163840,uniform,V1,collapse2,66,0.597674
cpu,1,256,163840,uniform,V1,collapse2,67,0.472153
cpu,1,256,163840,uniform,V1,collapse2,68,0.471223
cpu,1,256,163840,uniform,V1,collapse2,69,0.471773
cpu,1,256,163840,uniform,V1,collapse2,70,0.474483
cpu,1,256,163840,uniform,V1,collapse2,71,0.468333
cpu,1,256,163840,uniform,V1,collapse2,72,0.471823
cpu,1,256,163840,uniform,V1,collapse2,73,0.469943
cpu,1,256,163840,uniform,V1,collapse2,74,0.469533
cpu,1,256,163840,uniform,V1,collapse2,75,0.470463
cpu,1,256,163840,uniform,V1,collapse2,76,0.468913
cpu,1,256,163840,uniform,V1,collapse2,77,0.470033
cpu,1,256,163840,uniform,V1,collapse2,78,0.467753
cpu,1,256,163840,uniform,V1,collapse2,79,0.469532
cpu,1,256,163840,uniform,V1,collapse2,80,0.470073
cpu,1,256,163840,uniform,V1,collapse2,81,0.470713
cpu,1,256,163840,uniform,V1,collapse2,82,0.471713
cpu,1,256,163840,uniform,V1,collapse2,83,0.471143
cpu,1,256,163840,uniform,V1,collapse2,84,0.471544
cpu,1,256,163840,uniform,V1,collapse2,85,0.469153
