nlev,variant,blocking,tile_x,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,0,0,omp_for,cpu_scalar,64,1,1.000000,11.249875,17.999800,11.249875,11.249875,17.999800,0.000000,1.0000,0.0120,1.8000,4,6225920
90,3,0,0,0,omp_for,gpu_warp32,128,32,32.000000,92.766771,148.426830,267.080232,2968.536678,4749.658569,0.000000,1.0000,0.0120,1.8000,4,194560
90,3,0,0,0,omp_for,gpu_scalar,128,1,1.000000,5.624944,8.999910,5.624944,5.624944,8.999910,0.000000,1.0000,0.0120,1.8000,4,6225920
90,4,0,0,0,omp_for,gpu_scalar,128,1,1.000000,5.624944,8.999910,5.624944,5.624944,8.999910,0.000000,1.0000,0.0120,1.8000,4,6225920
90,4,0,0,0,omp_for,cpu_scalar,64,1,1.000000,11.249875,17.999800,11.249875,11.249875,17.999800,0.000000,1.0000,0.0120,1.8000,4,6225920
90,4,0,0,0,omp_for,gpu_warp32,128,32,32.000000,92.766771,148.426830,267.080232,2968.536678,4749.658569,0.000000,1.0000,0.0120,1.8000,4,194560
90,1,0,0,0,omp_for,cpu_avx512,64,8,1.000000,1.000000,1.115789,1.000000,1.000000,1.115789,0.000000,1.0000,0.0120,1.8000,4,778240
90,1,0,0,0,omp_for,gpu_warp32,128,32,2.000000,1.499805,1.673466,2.499414,2.999609,3.346933,0.000000,1.0000,0.0120,1.8000,4,194560
90,2,0,0,0,omp_for,cpu_avx512,64,8,1.000000,1.000000,1.115789,1.000000,1.000000,1.115789,0.000000,1.0000,0.0120,1.8000,4,778240
90,1,0,0,0,omp_for,cpu_scalar,64,1,0.125000,0.125000,0.139474,0.125000,0.015625,0.017434,0.000000,1.0000,0.0120,1.8000,4,6225920
90,2,0,0,0,omp_for,cpu_scalar,64,1,0.125000,0.125000,0.139474,0.125000,0.015625,0.017434,0.000000,1.0000,0.0120,1.8000,4,6225920
