nlev,variant,blocking,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,1,0,0,omp_for,cpu_scalar,64,1,1.875000,0.741195,1.148736,0.741195,1.389740,2.153881,0.000000,1.0000,0.0120,1.8000,4,5488640
90,3,0,0,omp_for,gpu_warp32,128,32,15.000000,4.532083,4.548091,6.322738,67.981246,68.221359,0.000000,1.0000,0.0120,1.8000,4,81920
90,3,0,0,omp_for,cpu_scalar,64,1,0.708955,0.163112,0.164115,0.163112,0.115639,0.116350,0.000000,1.0000,0.0120,1.8000,4,5488640
90,3,0,0,omp_for,gpu_scalar,128,1,0.391791,0.083644,0.084169,0.083644,0.032771,0.032977,0.000000,1.0000,0.0120,1.8000,4,5488640
90,3,0,0,omp_for,cpu_avx512,64,8,5.625000,1.310462,1.316870,2.045341,7.371347,7.407395,0.000000,1.0000,0.0120,1.8000,4,655360
90,2,0,0,omp_for,gpu_warp32,128,32,30.000000,6.930019,10.799106,10.863245,207.900583,323.973177,0.000000,1.0000,0.0120,1.8000,4,171520
90,2,0,0,omp_for,cpu_scalar,64,1,1.875000,0.741195,1.148736,0.741195,1.389740,2.153881,0.000000,1.0000,0.0120,1.8000,4,5488640
90,1,0,0,omp_for,gpu_warp32,128,32,30.000000,6.930019,10.799106,10.863245,207.900583,323.973177,0.000000,1.0000,0.0120,1.8000,4,171520
90,1,0,0,omp_for,gpu_scalar,128,1,0.937500,0.433092,0.674359,0.433092,0.406024,0.632212,0.000000,1.0000,0.0120,1.8000,4,5488640
90,1,0,0,omp_for,cpu_avx512,64,8,15.000000,3.716194,5.751449,5.182850,55.742906,86.271729,0.000000,1.0000,0.0120,1.8000,4,686080
90,2,0,0,omp_for,cpu_avx512,64,8,15.000000,3.716194,5.751449,5.182850,55.742906,86.271729,0.000000,1.0000,0.0120,1.8000,4,686080
90,2,0,0,omp_for,gpu_scalar,128,1,0.937500,0.433092,0.674359,0.433092,0.406024,0.632212,0.000000,1.0000,0.0120,1.8000,4,5488640
90,4,0,0,omp_for,gpu_warp32,128,32,15.000000,4.532083,4.548091,6.322738,67.981246,68.221359,0.000000,1.0000,0.0120,1.8000,4,81920
90,4,0,0,omp_for,cpu_scalar,64,1,0.708955,0.163112,0.164115,0.163112,0.115639,0.116350,0.000000,1.0000,0.0120,1.8000,4,5488640
90,4,0,0,omp_for,cpu_avx512,64,8,5.625000,1.310462,1.316870,2.045341,7.371347,7.407395,0.000000,1.0000,0.0120,1.8000,4,655360
90,4,0,0,omp_for,gpu_scalar,128,1,0.391791,0.083644,0.084169,0.083644,0.032771,0.032977,0.000000,1.0000,0.0120,1.8000,4,5488640
