backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,jk_outer,0,21.758718
cpu,1,256,163840,uniform,V1,jk_outer,1,21.633297
cpu,1,256,163840,uniform,V1,jk_outer,2,22.360121
cpu,1,256,163840,uniform,V1,jk_outer,3,21.960030
cpu,1,256,163840,uniform,V1,jk_outer,4,21.884471
cpu,1,256,163840,uniform,V1,jk_outer,5,21.714269
cpu,1,256,163840,uniform,V1,jk_outer,6,21.737439
cpu,1,256,163840,uniform,V1,jk_outer,7,21.923769
cpu,1,256,163840,uniform,V1,jk_outer,8,21.900979
cpu,1,256,163840,uniform,V1,jk_outer,9,21.703018
cpu,1,256,163840,uniform,V1,jk_outer,10,22.381812
cpu,1,256,163840,uniform,V1,jk_outer,11,21.856478
cpu,1,256,163840,uniform,V1,jk_outer,12,21.716628
cpu,1,256,163840,uniform,V1,jk_outer,13,24.087921
cpu,1,256,163840,uniform,V1,jk_outer,14,21.805970
cpu,1,256,163840,uniform,V1,jk_outer,15,21.702570
cpu,1,256,163840,uniform,V1,jk_outer,16,21.588958
cpu,1,256,163840,uniform,V1,jk_outer,17,21.674018
cpu,1,256,163840,uniform,V1,jk_outer,18,21.626007
cpu,1,256,163840,uniform,V1,jk_outer,19,21.667998
cpu,1,256,163840,uniform,V1,jk_outer,20,21.559857
cpu,1,256,163840,uniform,V1,jk_outer,21,21.589488
cpu,1,256,163840,uniform,V1,jk_outer,22,21.522537
cpu,1,256,163840,uniform,V1,jk_outer,23,21.740527
cpu,1,256,163840,uniform,V1,jk_outer,24,21.968969
cpu,1,256,163840,uniform,V1,jk_outer,25,21.646638
cpu,1,256,163840,uniform,V1,jk_outer,26,21.686329
cpu,1,256,163840,uniform,V1,jk_outer,27,21.932850
cpu,1,256,163840,uniform,V1,jk_outer,28,21.817099
cpu,1,256,163840,uniform,V1,jk_outer,29,21.605068
cpu,1,256,163840,uniform,V1,jk_outer,30,21.657747
cpu,1,256,163840,uniform,V1,jk_outer,31,21.584227
cpu,1,256,163840,uniform,V1,jk_outer,32,21.624697
cpu,1,256,163840,uniform,V1,jk_outer,33,25.325348
cpu,1,256,163840,uniform,V1,jk_outer,34,21.623717
cpu,1,256,163840,uniform,V1,jk_outer,35,21.486517
cpu,1,256,163840,uniform,V1,jk_outer,36,21.736829
cpu,1,256,163840,uniform,V1,jk_outer,37,21.706069
cpu,1,256,163840,uniform,V1,jk_outer,38,21.853970
cpu,1,256,163840,uniform,V1,jk_outer,39,21.571998
cpu,1,256,163840,uniform,V1,jk_outer,40,22.244091
cpu,1,256,163840,uniform,V1,jk_outer,41,21.751748
cpu,1,256,163840,uniform,V1,jk_outer,42,21.663288
cpu,1,256,163840,uniform,V1,jk_outer,43,21.539728
cpu,1,256,163840,uniform,V1,jk_outer,44,21.712269
cpu,1,256,163840,uniform,V1,jk_outer,45,25.364948
cpu,1,256,163840,uniform,V1,jk_outer,46,22.450703
cpu,1,256,163840,uniform,V1,jk_outer,47,21.820110
cpu,1,256,163840,uniform,V1,jk_outer,48,21.851211
cpu,1,256,163840,uniform,V1,jk_outer,49,21.837958
cpu,1,256,163840,uniform,V1,jk_outer,50,21.569537
cpu,1,256,163840,uniform,V1,jk_outer,51,21.688238
cpu,1,256,163840,uniform,V1,jk_outer,52,21.844730
cpu,1,256,163840,uniform,V1,jk_outer,53,22.144531
cpu,1,256,163840,uniform,V1,jk_outer,54,21.764309
cpu,1,256,163840,uniform,V1,jk_outer,55,21.635177
cpu,1,256,163840,uniform,V1,jk_outer,56,21.832548
cpu,1,256,163840,uniform,V1,jk_outer,57,21.588037
cpu,1,256,163840,uniform,V1,jk_outer,58,21.672709
cpu,1,256,163840,uniform,V1,jk_outer,59,21.548128
cpu,1,256,163840,uniform,V1,jk_outer,60,21.990900
cpu,1,256,163840,uniform,V1,jk_outer,61,21.923258
cpu,1,256,163840,uniform,V1,jk_outer,62,21.601507
cpu,1,256,163840,uniform,V1,jk_outer,63,21.692788
cpu,1,256,163840,uniform,V1,jk_outer,64,21.806080
cpu,1,256,163840,uniform,V1,jk_outer,65,21.872000
cpu,1,256,163840,uniform,V1,jk_outer,66,21.877810
cpu,1,256,163840,uniform,V1,jk_outer,67,21.972770
cpu,1,256,163840,uniform,V1,jk_outer,68,21.713428
cpu,1,256,163840,uniform,V1,jk_outer,69,21.792208
cpu,1,256,163840,uniform,V1,jk_outer,70,21.725579
cpu,1,256,163840,uniform,V1,jk_outer,71,21.817179
cpu,1,256,163840,uniform,V1,jk_outer,72,21.603747
cpu,1,256,163840,uniform,V1,jk_outer,73,21.675528
cpu,1,256,163840,uniform,V1,jk_outer,74,22.280441
cpu,1,256,163840,uniform,V1,jk_outer,75,21.755780
cpu,1,256,163840,uniform,V1,jk_outer,76,21.636479
cpu,1,256,163840,uniform,V1,jk_outer,77,21.664859
cpu,1,256,163840,uniform,V1,jk_outer,78,21.705549
cpu,1,256,163840,uniform,V1,jk_outer,79,21.713348
cpu,1,256,163840,uniform,V1,jk_outer,80,21.767548
cpu,1,256,163840,uniform,V1,jk_outer,81,21.764418
cpu,1,256,163840,uniform,V1,jk_outer,82,21.715089
cpu,1,256,163840,uniform,V1,jk_outer,83,21.923930
cpu,1,256,163840,uniform,V1,jk_outer,84,21.664377
cpu,1,256,163840,uniform,V1,jk_outer,85,21.770298
cpu,1,256,163840,uniform,V1,jk_outer,86,21.656428
cpu,1,256,163840,uniform,V1,jk_outer,87,21.842489
cpu,1,256,163840,uniform,V1,jk_outer,88,21.723660
cpu,1,256,163840,uniform,V1,jk_outer,89,21.587269
cpu,1,256,163840,uniform,V1,jk_outer,90,21.717769
cpu,1,256,163840,uniform,V1,jk_outer,91,21.840339
cpu,1,256,163840,uniform,V1,jk_outer,92,21.576107
cpu,1,256,163840,uniform,V1,jk_outer,93,21.504477
cpu,1,256,163840,uniform,V1,jk_outer,94,21.645848
cpu,1,256,163840,uniform,V1,jk_outer,95,21.824120
cpu,1,256,163840,uniform,V1,jk_outer,96,21.618798
cpu,1,256,163840,uniform,V1,jk_outer,97,21.665857
cpu,1,256,163840,uniform,V1,jk_outer,98,21.703398
cpu,1,256,163840,uniform,V1,jk_outer,99,21.648657
cpu,1,256,163840,uniform,V1,je_outer,0,51.556410
cpu,1,256,163840,uniform,V1,je_outer,1,52.084194
cpu,1,256,163840,uniform,V1,je_outer,2,51.033578
cpu,1,256,163840,uniform,V1,je_outer,3,51.052598
cpu,1,256,163840,uniform,V1,je_outer,4,51.085099
cpu,1,256,163840,uniform,V1,je_outer,5,51.237360
cpu,1,256,163840,uniform,V1,je_outer,6,51.178948
cpu,1,256,163840,uniform,V1,je_outer,7,51.023918
cpu,1,256,163840,uniform,V1,je_outer,8,51.077498
cpu,1,256,163840,uniform,V1,je_outer,9,51.004437
cpu,1,256,163840,uniform,V1,je_outer,10,51.013248
cpu,1,256,163840,uniform,V1,je_outer,11,51.034110
cpu,1,256,163840,uniform,V1,je_outer,12,51.045287
cpu,1,256,163840,uniform,V1,je_outer,13,51.160239
cpu,1,256,163840,uniform,V1,je_outer,14,51.185650
cpu,1,256,163840,uniform,V1,je_outer,15,51.095538
cpu,1,256,163840,uniform,V1,je_outer,16,51.098398
cpu,1,256,163840,uniform,V1,je_outer,17,51.070038
cpu,1,256,163840,uniform,V1,je_outer,18,51.145908
cpu,1,256,163840,uniform,V1,je_outer,19,50.996188
cpu,1,256,163840,uniform,V1,je_outer,20,51.017609
cpu,1,256,163840,uniform,V1,je_outer,21,51.122699
cpu,1,256,163840,uniform,V1,je_outer,22,51.094678
cpu,1,256,163840,uniform,V1,je_outer,23,50.982328
cpu,1,256,163840,uniform,V1,je_outer,24,50.990138
cpu,1,256,163840,uniform,V1,je_outer,25,51.098768
cpu,1,256,163840,uniform,V1,je_outer,26,51.153521
cpu,1,256,163840,uniform,V1,je_outer,27,50.917950
cpu,1,256,163840,uniform,V1,je_outer,28,51.233361
cpu,1,256,163840,uniform,V1,je_outer,29,51.094859
cpu,1,256,163840,uniform,V1,je_outer,30,51.304422
cpu,1,256,163840,uniform,V1,je_outer,31,51.263751
cpu,1,256,163840,uniform,V1,je_outer,32,51.263241
cpu,1,256,163840,uniform,V1,je_outer,33,51.070219
cpu,1,256,163840,uniform,V1,je_outer,34,51.028069
cpu,1,256,163840,uniform,V1,je_outer,35,51.859344
cpu,1,256,163840,uniform,V1,je_outer,36,51.128031
cpu,1,256,163840,uniform,V1,je_outer,37,50.996218
cpu,1,256,163840,uniform,V1,je_outer,38,50.935908
cpu,1,256,163840,uniform,V1,je_outer,39,51.151841
cpu,1,256,163840,uniform,V1,je_outer,40,50.902489
cpu,1,256,163840,uniform,V1,je_outer,41,51.065300
cpu,1,256,163840,uniform,V1,je_outer,42,50.913798
cpu,1,256,163840,uniform,V1,je_outer,43,51.088860
cpu,1,256,163840,uniform,V1,je_outer,44,51.060130
cpu,1,256,163840,uniform,V1,je_outer,45,51.120561
cpu,1,256,163840,uniform,V1,je_outer,46,51.056360
cpu,1,256,163840,uniform,V1,je_outer,47,51.170151
cpu,1,256,163840,uniform,V1,je_outer,48,51.107090
cpu,1,256,163840,uniform,V1,je_outer,49,51.117351
cpu,1,256,163840,uniform,V1,je_outer,50,51.002249
cpu,1,256,163840,uniform,V1,je_outer,51,51.000390
cpu,1,256,163840,uniform,V1,je_outer,52,51.111400
cpu,1,256,163840,uniform,V1,je_outer,53,50.975260
cpu,1,256,163840,uniform,V1,je_outer,54,51.053749
cpu,1,256,163840,uniform,V1,je_outer,55,51.103669
cpu,1,256,163840,uniform,V1,je_outer,56,51.126540
cpu,1,256,163840,uniform,V1,je_outer,57,51.240901
cpu,1,256,163840,uniform,V1,je_outer,58,51.072850
cpu,1,256,163840,uniform,V1,je_outer,59,51.027778
cpu,1,256,163840,uniform,V1,je_outer,60,51.177030
cpu,1,256,163840,uniform,V1,je_outer,61,51.085961
cpu,1,256,163840,uniform,V1,je_outer,62,51.033640
cpu,1,256,163840,uniform,V1,je_outer,63,50.990108
cpu,1,256,163840,uniform,V1,je_outer,64,51.059940
cpu,1,256,163840,uniform,V1,je_outer,65,51.217671
cpu,1,256,163840,uniform,V1,je_outer,66,51.102021
cpu,1,256,163840,uniform,V1,je_outer,67,51.179781
cpu,1,256,163840,uniform,V1,je_outer,68,51.052530
cpu,1,256,163840,uniform,V1,je_outer,69,51.091110
cpu,1,256,163840,uniform,V1,je_outer,70,51.124971
cpu,1,256,163840,uniform,V1,je_outer,71,51.148580
cpu,1,256,163840,uniform,V1,je_outer,72,51.138101
cpu,1,256,163840,uniform,V1,je_outer,73,51.324861
cpu,1,256,163840,uniform,V1,je_outer,74,51.286642
cpu,1,256,163840,uniform,V1,je_outer,75,50.946390
cpu,1,256,163840,uniform,V1,je_outer,76,51.050730
cpu,1,256,163840,uniform,V1,je_outer,77,51.177700
cpu,1,256,163840,uniform,V1,je_outer,78,51.063970
cpu,1,256,163840,uniform,V1,je_outer,79,51.025520
cpu,1,256,163840,uniform,V1,je_outer,80,51.154881
cpu,1,256,163840,uniform,V1,je_outer,81,51.115660
cpu,1,256,163840,uniform,V1,je_outer,82,51.118611
cpu,1,256,163840,uniform,V1,je_outer,83,51.064780
cpu,1,256,163840,uniform,V1,je_outer,84,51.125741
cpu,1,256,163840,uniform,V1,je_outer,85,51.120960
cpu,1,256,163840,uniform,V1,je_outer,86,51.093410
cpu,1,256,163840,uniform,V1,je_outer,87,50.968770
cpu,1,256,163840,uniform,V1,je_outer,88,51.103020
cpu,1,256,163840,uniform,V1,je_outer,89,51.117890
cpu,1,256,163840,uniform,V1,je_outer,90,51.165211
cpu,1,256,163840,uniform,V1,je_outer,91,51.000050
cpu,1,256,163840,uniform,V1,je_outer,92,51.092331
cpu,1,256,163840,uniform,V1,je_outer,93,51.015518
cpu,1,256,163840,uniform,V1,je_outer,94,51.146929
cpu,1,256,163840,uniform,V1,je_outer,95,51.080170
cpu,1,256,163840,uniform,V1,je_outer,96,51.146680
cpu,1,256,163840,uniform,V1,je_outer,97,51.085250
cpu,1,256,163840,uniform,V1,je_outer,98,51.044848
cpu,1,256,163840,uniform,V1,je_outer,99,51.010720
cpu,1,256,163840,uniform,V1,collapse2,0,26.504561
cpu,1,256,163840,uniform,V1,collapse2,1,26.470310
cpu,1,256,163840,uniform,V1,collapse2,2,26.624202
cpu,1,256,163840,uniform,V1,collapse2,3,26.124800
cpu,1,256,163840,uniform,V1,collapse2,4,26.581111
cpu,1,256,163840,uniform,V1,collapse2,5,25.967346
cpu,1,256,163840,uniform,V1,collapse2,6,26.197348
cpu,1,256,163840,uniform,V1,collapse2,7,26.535980
cpu,1,256,163840,uniform,V1,collapse2,8,26.365959
cpu,1,256,163840,uniform,V1,collapse2,9,26.080598
cpu,1,256,163840,uniform,V1,collapse2,10,26.228320
cpu,1,256,163840,uniform,V1,collapse2,11,26.151420
cpu,1,256,163840,uniform,V1,collapse2,12,26.276429
cpu,1,256,163840,uniform,V1,collapse2,13,26.542140
cpu,1,256,163840,uniform,V1,collapse2,14,26.454499
cpu,1,256,163840,uniform,V1,collapse2,15,26.380228
cpu,1,256,163840,uniform,V1,collapse2,16,25.907616
cpu,1,256,163840,uniform,V1,collapse2,17,26.089607
cpu,1,256,163840,uniform,V1,collapse2,18,26.523960
cpu,1,256,163840,uniform,V1,collapse2,19,26.617352
cpu,1,256,163840,uniform,V1,collapse2,20,26.013298
cpu,1,256,163840,uniform,V1,collapse2,21,26.425281
cpu,1,256,163840,uniform,V1,collapse2,22,26.424930
cpu,1,256,163840,uniform,V1,collapse2,23,26.434390
cpu,1,256,163840,uniform,V1,collapse2,24,26.891623
cpu,1,256,163840,uniform,V1,collapse2,25,26.570821
cpu,1,256,163840,uniform,V1,collapse2,26,25.947208
cpu,1,256,163840,uniform,V1,collapse2,27,26.628453
cpu,1,256,163840,uniform,V1,collapse2,28,26.798063
cpu,1,256,163840,uniform,V1,collapse2,29,26.582101
cpu,1,256,163840,uniform,V1,collapse2,30,26.357269
cpu,1,256,163840,uniform,V1,collapse2,31,26.059857
cpu,1,256,163840,uniform,V1,collapse2,32,26.467559
cpu,1,256,163840,uniform,V1,collapse2,33,26.378639
cpu,1,256,163840,uniform,V1,collapse2,34,26.933053
cpu,1,256,163840,uniform,V1,collapse2,35,26.408570
cpu,1,256,163840,uniform,V1,collapse2,36,26.384050
cpu,1,256,163840,uniform,V1,collapse2,37,25.951688
cpu,1,256,163840,uniform,V1,collapse2,38,26.219488
cpu,1,256,163840,uniform,V1,collapse2,39,26.398569
cpu,1,256,163840,uniform,V1,collapse2,40,25.891707
cpu,1,256,163840,uniform,V1,collapse2,41,26.180348
cpu,1,256,163840,uniform,V1,collapse2,42,26.623112
cpu,1,256,163840,uniform,V1,collapse2,43,26.400051
cpu,1,256,163840,uniform,V1,collapse2,44,26.295610
cpu,1,256,163840,uniform,V1,collapse2,45,26.499952
cpu,1,256,163840,uniform,V1,collapse2,46,26.208678
cpu,1,256,163840,uniform,V1,collapse2,47,26.286599
cpu,1,256,163840,uniform,V1,collapse2,48,26.326999
