variant,experiment,ny,nx,tpb,coarsen,rep,time_ms
aos_scatter,qe,225001,110273,24,1,0,0.050068
aos_scatter,qe,225001,110273,24,1,1,0.049829
aos_scatter,qe,225001,110273,24,1,2,0.051022
aos_scatter,qe,225001,110273,24,1,3,0.051975
aos_scatter,qe,225001,110273,24,1,4,0.050783
aos_scatter,qe,225001,110273,24,1,5,0.048161
aos_scatter,qe,225001,110273,24,1,6,0.047922
aos_scatter,qe,225001,110273,24,1,7,0.049114
aos_scatter,qe,225001,110273,24,1,8,0.049114
aos_scatter,qe,225001,110273,24,1,9,0.048161
aos_scatter,qe,225001,110273,24,1,10,0.050068
aos_scatter,qe,225001,110273,24,1,11,0.047922
aos_scatter,qe,225001,110273,24,1,12,0.046968
aos_scatter,qe,225001,110273,24,1,13,0.049114
aos_scatter,qe,225001,110273,24,1,14,0.046968
aos_scatter,qe,225001,110273,24,1,15,0.047207
aos_scatter,qe,225001,110273,24,1,16,0.046968
aos_scatter,qe,225001,110273,24,1,17,0.047922
aos_scatter,qe,225001,110273,24,1,18,0.048876
aos_scatter,qe,225001,110273,24,1,19,0.046968
aos_scatter,qe,225001,110273,24,1,20,0.048161
aos_scatter,qe,225001,110273,24,1,21,0.050068
aos_scatter,qe,225001,110273,24,1,22,0.046968
aos_scatter,qe,225001,110273,24,1,23,0.047922
aos_scatter,qe,225001,110273,24,1,24,0.048161
aos_scatter,qe,225001,110273,24,1,25,0.047207
aos_scatter,qe,225001,110273,24,1,26,0.047922
aos_scatter,qe,225001,110273,24,1,27,0.050068
aos_scatter,qe,225001,110273,24,1,28,0.048161
aos_scatter,qe,225001,110273,24,1,29,0.048161
aos_scatter,qe,225001,110273,24,1,30,0.047922
aos_scatter,qe,225001,110273,24,1,31,0.048161
aos_scatter,qe,225001,110273,24,1,32,0.046968
aos_scatter,qe,225001,110273,24,1,33,0.047922
aos_scatter,qe,225001,110273,24,1,34,0.046968
aos_scatter,qe,225001,110273,24,1,35,0.047922
aos_scatter,qe,225001,110273,24,1,36,0.047922
aos_scatter,qe,225001,110273,24,1,37,0.046968
aos_scatter,qe,225001,110273,24,1,38,0.048161
aos_scatter,qe,225001,110273,24,1,39,0.048161
aos_scatter,qe,225001,110273,24,1,40,0.047922
aos_scatter,qe,225001,110273,24,1,41,0.048161
aos_scatter,qe,225001,110273,24,1,42,0.047922
aos_scatter,qe,225001,110273,24,1,43,0.048161
aos_scatter,qe,225001,110273,24,1,44,0.047922
aos_scatter,qe,225001,110273,24,1,45,0.047922
aos_scatter,qe,225001,110273,24,1,46,0.048876
aos_scatter,qe,225001,110273,24,1,47,0.049114
aos_scatter,qe,225001,110273,24,1,48,0.050068
aos_scatter,qe,225001,110273,24,1,49,0.047922
aos_scatter,qe,225001,110273,24,1,50,0.051975
aos_scatter,qe,225001,110273,24,1,51,0.048876
aos_scatter,qe,225001,110273,24,1,52,0.047922
aos_scatter,qe,225001,110273,24,1,53,0.049114
aos_scatter,qe,225001,110273,24,1,54,0.046968
aos_scatter,qe,225001,110273,24,1,55,0.047207
aos_scatter,qe,225001,110273,24,1,56,0.046968
aos_scatter,qe,225001,110273,24,1,57,0.048161
aos_scatter,qe,225001,110273,24,1,58,0.049114
