variant,N,BX,BY,TX,TY,SB,PAD,med_time_ms,std_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw
naive,16384,32,8,1,8,32,1,4.3774,0.0118,487.3,490.6,493.0,14.4
blocked,16384,32,8,1,8,8,1,4.3408,0.0121,491.5,494.7,498.1,14.6
blocked,16384,32,8,1,8,32,1,4.3659,0.0121,487.9,491.9,495.3,14.5
blocked,16384,32,8,1,8,64,1,4.3411,0.0110,491.4,494.7,497.1,14.6
blocked,16384,32,8,1,8,128,1,4.3827,0.0124,485.7,490.0,493.7,14.4
blocked,16384,32,8,1,8,256,1,4.3592,0.0115,490.1,492.6,495.5,14.5
smem,16384,32,8,1,8,32,1,1.1774,0.0048,1766.2,1823.9,1829.6,53.7
smem_blk,16384,32,8,1,8,8,1,1.1769,0.0049,1766.4,1824.7,1837.5,53.7
smem_blk,16384,32,8,1,8,32,1,1.1781,0.0068,1725.9,1822.8,1835.2,53.7
smem_blk,16384,32,8,1,8,64,1,1.1778,0.0045,1763.1,1823.3,1829.9,53.7
smem_blk,16384,32,8,1,8,128,1,1.1771,0.0045,1770.7,1824.5,1830.0,53.7
smem_blk,16384,32,8,1,8,256,1,1.1783,0.0051,1758.4,1822.6,1832.0,53.7
smem_pad,16384,32,8,1,8,32,1,0.6625,0.0045,3051.8,3241.3,3253.0,95.4
smem_pad_blk,16384,32,8,1,8,32,1,0.6609,0.0049,3039.1,3249.5,3263.3,95.7
smem_pad_blk_vec,16384,32,8,1,8,32,1,0.6703,0.0044,3008.6,3203.7,3212.3,94.3
smem_pad_blk_vec_2x,16384,32,8,1,8,32,1,0.6706,0.0042,3019.2,3202.5,3212.5,94.3
naive,16384,32,16,1,8,32,1,4.4126,0.0117,477.6,486.7,488.6,14.3
blocked,16384,32,16,1,8,8,1,4.3935,0.0103,485.6,488.8,491.9,14.4
blocked,16384,32,16,1,8,32,1,4.3982,0.0100,483.7,488.3,490.9,14.4
blocked,16384,32,16,1,8,64,1,4.3517,0.0108,487.4,493.5,495.9,14.5
blocked,16384,32,16,1,8,128,1,4.3612,0.0100,487.8,492.4,495.1,14.5
blocked,16384,32,16,1,8,256,1,4.3704,0.0105,486.3,491.4,493.9,14.5
smem,16384,32,16,1,8,32,1,1.1761,0.0055,1758.2,1825.9,1831.4,53.8
smem_blk,16384,32,16,1,8,8,1,1.1762,0.0047,1758.8,1825.7,1830.8,53.8
smem_blk,16384,32,16,1,8,32,1,1.1761,0.0047,1762.8,1825.9,1830.6,53.8
smem_blk,16384,32,16,1,8,64,1,1.1765,0.0040,1771.5,1825.3,1830.1,53.7
smem_blk,16384,32,16,1,8,128,1,1.1767,0.0041,1767.7,1825.0,1830.7,53.7
smem_blk,16384,32,16,1,8,256,1,1.1759,0.0054,1753.7,1826.2,1831.6,53.8
smem_pad,16384,32,16,1,8,32,1,0.7035,0.0040,2938.6,3052.8,3104.9,89.9
smem_pad_blk,16384,32,16,1,8,32,1,0.7014,0.0047,2914.7,3061.7,3115.3,90.2
smem_pad_blk_vec,16384,32,16,1,8,32,1,0.7152,0.0047,2834.6,3002.5,3016.7,88.4
smem_pad_blk_vec_2x,16384,32,16,1,8,32,1,0.7096,0.0044,2850.5,3026.3,3032.6,89.1
naive,16384,32,8,2,4,32,1,4.3024,0.0057,494.4,499.1,500.2,14.7
blocked,16384,32,8,2,4,8,1,4.2992,0.0067,494.6,499.5,500.9,14.7
blocked,16384,32,8,2,4,32,1,4.2698,0.0058,497.7,502.9,504.3,14.8
