layout,schedule,SB,N,B,mu,delta,mu_delta
row_major,naive,0,16384,32,1.031189,631.953597,651.663576
row_major,tiled,8,16384,32,1.124924,719.862324,809.790193
row_major,tiled,16,16384,32,1.062431,743.739835,790.172506
row_major,tiled,32,16384,32,1.031185,755.491382,779.051494
row_major,tiled,64,16384,32,1.031189,756.978246,780.587614
row_major,tiled,128,16384,32,1.031189,756.984260,780.593815
row_major,blk_aligned,8,16384,32,1.124924,719.862324,809.790193
row_major,blk_aligned,16,16384,32,1.062431,743.739835,790.172506
row_major,blk_aligned,32,16384,32,1.031185,755.491382,779.051494
row_major,blk_aligned,64,16384,32,1.031189,756.978246,780.587614
row_major,blk_aligned,128,16384,32,1.031189,756.984260,780.593815
blocked,blk_aligned,8,16384,32,0.281174,48.187450,13.549044
blocked,blk_aligned,16,16384,32,0.531181,24.706875,13.123831
blocked,blk_aligned,32,16384,32,1.031185,13.391201,13.808808
blocked,blk_aligned,64,16384,32,1.031189,8.873428,9.150181
blocked,blk_aligned,128,16384,32,1.031189,8.836290,9.111885
blocked,naive,8,16384,32,0.374939,384.031166,143.988248
blocked,naive,16,16384,32,0.562439,384.187481,216.082009
blocked,naive,32,16384,32,1.031189,384.453465,396.444170
blocked,naive,64,16384,32,1.031189,384.939243,396.945099
blocked,naive,128,16384,32,1.031189,385.913733,397.949983
