nlev,variant,cell_dist,schedule,target,block_bytes,vector_width,mu,mu_delta,mu_delta_numa,delta_max,delta_min,beta,alpha,gamma,P_NUMA,T
90,3,exact,omp_collapse2,cpu_avx512,64,8,40.891547,20827.353297,23479.495843,5182.342522,546.708558,1,0.0120,1.8000,4,1382400
90,3,exact,omp_collapse2,gpu_scalar,128,1,5.784904,2277.544174,2893.923829,1082.801647,474.961799,1,0.0120,1.8000,4,11059200
90,3,exact,omp_collapse2,gpu_warp32,128,32,146.230312,56666.433356,71651.341120,4564.241211,474.757989,1,0.0120,1.8000,4,345600
90,3,exact,omp_collapse2,gpu_wave64,128,64,288.275278,175495.727384,221857.294722,5999.541164,747.391443,1,0.0120,1.8000,4,172800
90,4,exact,omp_for,cpu_scalar,64,1,0.901681,50.467808,68.166682,983.317011,23.839534,1,0.0120,1.8000,4,11059200
90,4,exact,omp_for,cpu_avx512,64,8,7.315813,705.008223,956.106968,1935.968438,95.568269,1,0.0120,1.8000,4,1351680
90,4,exact,omp_for,gpu_scalar,128,1,0.464488,25.233697,34.083009,325.711324,13.683179,1,0.0120,1.8000,4,11059200
90,4,exact,omp_for,gpu_warp32,128,32,16.573547,3214.087561,4344.286724,1045.624614,221.452218,1,0.0120,1.8000,4,245760
90,4,exact,omp_for,gpu_wave64,128,64,27.036906,10893.477645,14710.471818,1059.846171,497.713884,1,0.0120,1.8000,4,122880
90,4,exact,omp_collapse2,cpu_scalar,64,1,6.097404,4555.305788,5118.565500,2034.222275,819.692900,1,0.0120,1.8000,4,11059200
90,4,exact,omp_collapse2,cpu_avx512,64,8,40.891547,20828.331075,23481.060291,4831.517154,546.321068,1,0.0120,1.8000,4,1382400
90,4,exact,omp_collapse2,gpu_scalar,128,1,5.784904,2277.605285,2894.021607,1043.361135,475.323052,1,0.0120,1.8000,4,11059200
90,4,exact,omp_collapse2,gpu_warp32,128,32,146.230312,56674.296944,71663.922861,4459.164955,474.840823,1,0.0120,1.8000,4,345600
90,4,exact,omp_collapse2,gpu_wave64,128,64,288.275278,175527.169421,221907.601981,5893.139740,747.559247,1,0.0120,1.8000,4,172800
