nlev,variant,cell_dist,schedule,target,block_bytes,vector_width,mu,mu_delta,mu_delta_numa,delta_max,delta_min,beta,alpha,gamma,P_NUMA,T
90,1,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966020,5089.668802,5140.140567,4949.021275,207.229743,1,0.0120,1.8000,4,921600
90,1,normal_var4,omp_collapse2,gpu_scalar,128,1,2.632434,2128.616490,2147.854767,2168.928574,981.072309,1,0.0120,1.8000,4,7372800
90,1,normal_var4,omp_collapse2,gpu_warp32,128,32,80.856658,2641.113108,2680.883938,3052.710362,33.111626,1,0.0120,1.8000,4,230400
90,1,normal_var4,omp_collapse2,gpu_wave64,128,64,159.387569,2923.904896,3007.820521,3073.675867,18.810364,1,0.0120,1.8000,4,115200
90,1,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,4273.687168,4312.323903,4140.228244,1853.369289,1,0.0120,1.8000,4,7372800
90,1,sequential,omp_collapse2,cpu_avx512,64,8,24.969533,5108.627040,5159.357992,4948.674672,207.906394,1,0.0120,1.8000,4,921600
90,1,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,2136.707685,2156.025519,2207.964133,1002.024525,1,0.0120,1.8000,4,7372800
90,1,sequential,omp_collapse2,gpu_warp32,128,32,80.851189,2659.671311,2699.276161,3052.360001,33.357704,1,0.0120,1.8000,4,230400
90,1,sequential,omp_collapse2,gpu_wave64,128,64,159.399340,2907.816632,2991.392604,3074.099387,18.707240,1,0.0120,1.8000,4,115200
90,2,uniform,omp_for,cpu_scalar,64,1,4.998914,8537.504829,8538.237935,4299.734797,1955.867432,1,0.0120,1.8000,4,7372800
90,2,uniform,omp_for,cpu_avx512,64,8,39.927930,10203.101942,10208.966793,5671.869044,255.694813,1,0.0120,1.8000,4,921600
90,2,uniform,omp_for,gpu_scalar,128,1,4.497852,4268.446430,4268.812948,2248.404169,1023.175913,1,0.0120,1.8000,4,7372800
90,2,uniform,omp_for,gpu_warp32,128,32,141.650391,5237.816803,5258.269388,3337.869960,37.125901,1,0.0120,1.8000,4,230400
90,2,uniform,omp_for,gpu_wave64,128,64,278.660156,5681.625442,5757.399545,3366.306465,20.629150,1,0.0120,1.8000,4,115200
90,2,normal_var1,omp_for,cpu_scalar,64,1,3.169592,4260.231326,4260.964433,4020.114882,1823.277089,1,0.0120,1.8000,4,7372800
90,2,normal_var1,omp_for,cpu_avx512,64,8,24.962012,5101.813441,5107.678293,4538.778822,204.664148,1,0.0120,1.8000,4,921600
90,2,normal_var1,omp_for,gpu_scalar,128,1,2.584814,2130.037615,2130.404133,2179.310261,988.542246,1,0.0120,1.8000,4,7372800
90,2,normal_var1,omp_for,gpu_warp32,128,32,80.873437,2655.731571,2676.184156,2926.149525,33.047413,1,0.0120,1.8000,4,230400
90,2,normal_var1,omp_for,gpu_wave64,128,64,159.539844,2937.567455,3013.341559,2946.747808,18.796200,1,0.0120,1.8000,4,115200
