nlev,variant,blocking,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,1,0,exact,omp_for,cpu_scalar,64,1,1.802433,39.065603,39.129544,248.031681,70.413142,70.528393,0.000000,1,0.0120,1.8000,4,11059200
90,1,0,exact,omp_collapse2,cpu_avx512,64,8,10.509447,14.066863,14.565699,1297.188214,147.834946,153.077506,0.000000,1,0.0120,1.8000,4,1382400
90,2,0,normal_var4,omp_for,cpu_scalar,64,1,3.267627,1757.684981,1757.751080,3872.992930,5743.458818,5743.674807,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,uniform,omp_collapse2,gpu_scalar,128,1,4.497852,1023.146268,1032.262624,2248.405007,4601.960041,4642.964056,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,exact,omp_collapse2,cpu_avx512,64,8,10.509447,13.414258,13.985390,48.394106,140.976432,146.978795,0.000000,1,0.0120,1.8000,4,1382400
90,3,0,normal_var4,omp_for,cpu_avx512,64,8,7.259949,5717.971989,9153.601205,93880.054001,41512.197138,66455.105319,0.000000,1,0.0120,1.8000,4,901120
90,3,0,exact,omp_for,gpu_scalar,128,1,0.464488,10.187187,13.684107,326.155178,4.731757,6.356021,0.000000,1,0.0120,1.8000,4,11059200
90,3,0,sequential,omp_collapse2,gpu_warp32,128,32,201.962565,1288.063008,1631.331614,107543.687687,260140.509014,329467.917327,0.000000,1,0.0120,1.8000,4,230400
90,4,0,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,56485.979047,63577.506876,124486.163433,400840.145418,451163.589788,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,sequential,omp_for,gpu_scalar,128,1,2.561829,993.170833,993.199818,2207.963456,2544.333458,2544.407711,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,uniform,omp_collapse2,cpu_scalar,64,1,4.998914,1958.459331,1975.917089,4396.810478,9790.168934,9877.438760,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,exact,omp_collapse2,cpu_scalar,64,1,1.802434,39.066780,39.288646,248.032796,70.415275,70.815179,0.000000,1,0.0120,1.8000,4,11059200
90,2,0,exact,omp_for,cpu_scalar,64,1,1.802433,39.048390,39.124636,66.619506,70.382117,70.519545,0.000000,1,0.0120,1.8000,4,11059200
90,3,0,uniform,omp_for,cpu_scalar,64,1,0.915274,1844.571335,2950.010658,89058.504619,1688.287910,2700.067615,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,exact,omp_for,cpu_avx512,64,8,7.315813,71.069274,95.797967,1946.707625,519.939817,700.850225,0.000000,1,0.0120,1.8000,4,1351680
90,3,0,normal_var4,omp_collapse2,gpu_warp32,128,32,198.246194,1301.464500,1648.356155,109596.038896,258010.383091,326780.333852,0.000000,1,0.0120,1.8000,4,230400
90,4,0,exact,omp_for,gpu_warp32,128,32,16.573547,164.245053,221.452223,1045.624614,2722.053940,3670.249637,0.000000,1,0.0120,1.8000,4,245760
90,4,0,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907895,1304.207580,1651.746575,109179.346063,259417.184337,328545.434700,0.000000,1,0.0120,1.8000,4,230400
90,1,0,uniform,omp_for,cpu_scalar,64,1,4.998914,1958.457983,1958.508448,4396.809239,9790.162198,9790.414467,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,normal_var4,omp_collapse2,gpu_warp32,128,32,80.856658,32.623966,33.111630,3052.710362,2637.864895,2677.295737,0.000000,1,0.0120,1.8000,4,230400
