nlev,variant,blocking,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
128,1,0,normal_var1,omp_for,gpu_warp32,128,32,80.873437,32.719371,32.912639,3052.635142,2646.128016,2661.758261,0.000000,1,0.0120,1.8000,4,327680
128,1,0,normal_var4,omp_collapse2,gpu_warp32,128,32,80.856641,32.615505,32.808791,3052.713651,2637.180152,2652.808622,0.000000,1,0.0120,1.8000,4,327680
128,2,0,normal_var1,omp_for,gpu_warp32,128,32,80.873437,32.813249,33.062843,2926.183074,2653.720228,2673.905801,0.000000,1,0.0120,1.8000,4,327680
128,2,0,normal_var1,omp_collapse2,cpu_avx512,64,8,24.962012,204.444530,204.672398,4538.793344,5103.346752,5109.034805,0.000000,1,0.0120,1.8000,4,1310720
128,2,0,exact,omp_collapse2,cpu_avx512,64,8,10.509440,13.409207,13.909550,48.388935,140.923261,146.181583,0.000000,1,0.0120,1.8000,4,1966080
128,3,0,normal_var4,omp_for,gpu_scalar,128,1,0.433033,301.896171,483.171220,4142.466438,130.731084,209.230295,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,normal_var4,omp_collapse2,cpu_avx512,64,8,52.070532,12593.962156,12594.061895,279981.165974,655774.312309,655779.505748,0.000000,1,0.0120,1.8000,4,1310720
128,4,0,normal_var1,omp_for,cpu_avx512,64,8,6.929749,4695.387854,7508.846906,129777.890107,32537.845974,52034.387783,0.000000,1,0.0120,1.8000,4,1310720
128,4,0,normal_var4,omp_for,gpu_scalar,128,1,0.433033,301.567257,482.644296,4141.557258,130.588653,209.002116,0.000000,1,0.0120,1.8000,4,10485760
128,4,0,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,80335.549397,80335.612458,177046.890833,570083.299861,570083.747354,0.000000,1,0.0120,1.8000,4,10485760
128,1,0,sequential,omp_for,gpu_scalar,128,1,2.561829,993.171274,993.200416,2207.964028,2544.334589,2544.409243,0.000000,1,0.0120,1.8000,4,10485760
128,1,0,uniform,omp_collapse2,gpu_scalar,128,1,4.497852,1023.767589,1023.792967,2272.696596,4604.754650,4604.868796,0.000000,1,0.0120,1.8000,4,10485760
128,1,0,exact,omp_collapse2,gpu_warp32,128,32,20.005208,8.365551,9.083859,813.926146,167.354593,181.724490,0.000000,1,0.0120,1.8000,4,491520
128,2,0,normal_var4,omp_for,gpu_scalar,128,1,2.632434,971.903623,971.936874,2141.940870,2558.472222,2558.559751,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,normal_var1,omp_collapse2,gpu_warp32,128,32,80.873437,32.813249,33.062843,2926.183074,2653.720228,2673.905801,0.000000,1,0.0120,1.8000,4,327680
128,3,0,sequential,omp_for,cpu_scalar,64,1,0.754883,673.373474,1077.030950,18509.236621,508.318062,813.032153,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,86190.540928,86190.595971,189439.339906,571010.229386,571010.594042,0.000000,1,0.0120,1.8000,4,10485760
128,4,0,normal_var1,omp_for,cpu_scalar,64,1,0.866219,586.923482,938.605863,16222.236263,508.403843,813.037309,0.000000,1,0.0120,1.8000,4,10485760
128,4,0,exact,omp_for,cpu_scalar,64,1,0.879883,6.970864,9.418247,333.745771,6.133543,8.286954,0.000000,1,0.0120,1.8000,4,15728640
128,4,0,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,44278.920504,44278.954056,97277.600134,279509.604654,279509.816449,0.000000,1,0.0120,1.8000,4,10485760
128,1,0,normal_var1,omp_for,gpu_scalar,128,1,2.584814,989.020287,989.048116,2206.442987,2556.433931,2556.505866,0.000000,1,0.0120,1.8000,4,10485760
128,1,0,exact,omp_for,gpu_warp32,128,32,20.005208,8.365551,9.083859,813.926146,167.354593,181.724490,0.000000,1,0.0120,1.8000,4,491520
128,1,0,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,1837.002000,1837.060288,4140.228034,5740.160340,5740.342473,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,normal_var4,omp_for,cpu_scalar,64,1,3.267627,1757.686111,1757.752636,3872.994496,5743.462510,5743.679889,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,255.553758,255.703402,5671.886466,10203.732489,10209.707445,0.000000,1,0.0120,1.8000,4,1310720
128,2,0,sequential,omp_collapse2,gpu_warp32,128,32,80.851172,32.956711,33.207995,2925.884214,2664.588683,2684.905337,0.000000,1,0.0120,1.8000,4,327680
128,3,0,exact,omp_for,gpu_warp32,128,32,14.078125,113.656234,153.462772,1420.811765,1600.066668,2160.468085,0.000000,1,0.0120,1.8000,4,491520
128,3,0,normal_var4,omp_collapse2,gpu_warp32,128,32,198.246143,1849.832342,1849.912537,155847.429674,366722.126134,366738.024517,0.000000,1,0.0120,1.8000,4,327680
128,4,0,normal_var1,omp_collapse2,cpu_avx512,64,8,52.232642,12562.473263,12562.586400,278367.992837,656171.163570,656177.073011,0.000000,1,0.0120,1.8000,4,1310720
128,4,0,exact,omp_collapse2,cpu_avx512,64,8,40.891536,688.296226,688.435884,6870.566756,28145.490218,28151.201036,0.000000,1,0.0120,1.8000,4,1966080
128,1,0,uniform,omp_for,cpu_avx512,64,8,39.927930,256.117616,256.248128,5930.285891,10226.246173,10231.457250,0.000000,1,0.0120,1.8000,4,1310720
128,1,0,uniform,omp_collapse2,gpu_warp32,128,32,141.650391,36.939136,37.051875,3410.091882,5232.443105,5248.412596,0.000000,1,0.0120,1.8000,4,327680
128,2,0,sequential,omp_for,cpu_scalar,64,1,3.124744,1834.839170,1834.909688,4028.744491,5733.402048,5733.622401,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,normal_var4,omp_collapse2,cpu_scalar,64,1,3.267627,1757.686111,1757.752636,3872.994496,5743.462510,5743.679889,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,uniform,omp_for,gpu_scalar,128,1,0.439940,594.554789,950.850541,8135.260319,261.568364,418.317076,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,21464.191386,21464.276875,476944.649133,1309164.754456,1309169.968694,0.000000,1,0.0120,1.8000,4,1310720
128,3,0,sequential,omp_collapse2,gpu_warp32,128,32,201.962549,1830.781076,1830.860340,152928.895353,369749.212432,369765.220726,0.000000,1,0.0120,1.8000,4,327680
128,4,0,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907861,1853.702056,1853.806551,155276.556640,368715.911418,368736.696418,0.000000,1,0.0120,1.8000,4,327680
128,1,0,normal_var4,omp_for,gpu_warp32,128,32,80.856641,32.615505,32.808791,3052.713651,2637.180152,2652.808622,0.000000,1,0.0120,1.8000,4,327680
128,1,0,normal_var4,omp_collapse2,gpu_scalar,128,1,2.632434,972.403566,972.431309,2168.928416,2559.788289,2559.861319,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,normal_var1,omp_for,cpu_avx512,64,8,24.962012,204.444530,204.672398,4538.793344,5103.346752,5109.034805,0.000000,1,0.0120,1.8000,4,1310720
128,2,0,sequential,omp_for,gpu_warp32,128,32,80.851172,32.956711,33.207995,2925.884214,2664.588683,2684.905337,0.000000,1,0.0120,1.8000,4,327680
128,2,0,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,992.660690,992.695947,2180.117979,2543.026559,2543.116880,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,exact,omp_for,cpu_scalar,64,1,0.879883,6.990432,9.442140,334.791853,6.150761,8.307977,0.000000,1,0.0120,1.8000,4,15728640
128,3,0,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,44328.134654,44328.162173,97416.391172,279820.267776,279820.441486,0.000000,1,0.0120,1.8000,4,10485760
128,4,0,normal_var4,omp_for,cpu_avx512,64,8,6.928528,4695.461291,7514.123351,129553.536202,32532.655546,52062.115855,0.000000,1,0.0120,1.8000,4,1310720
128,4,0,sequential,omp_for,gpu_warp32,128,32,12.078125,11183.376552,17886.265422,79063.821333,135074.219920,216032.549546,0.000000,1,0.0120,1.8000,4,327680
128,4,0,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923683,82579.706192,82579.772259,182133.078655,571755.721659,571756.179081,0.000000,1,0.0120,1.8000,4,10485760
128,4,0,exact,omp_collapse2,cpu_scalar,64,1,6.097404,1037.974100,1038.041130,2893.000628,6328.947400,6329.356109,0.000000,1,0.0120,1.8000,4,15728640
128,1,0,normal_var4,omp_for,cpu_scalar,64,1,3.267627,1759.676267,1759.731775,3981.068592,5749.965599,5750.146977,0.000000,1,0.0120,1.8000,4,10485760
128,1,0,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,256.117616,256.248128,5930.285891,10226.246173,10231.457250,0.000000,1,0.0120,1.8000,4,1310720
128,1,0,exact,omp_collapse2,cpu_avx512,64,8,10.509440,14.063008,14.489106,1297.187166,147.794337,152.272389,0.000000,1,0.0120,1.8000,4,1966080
128,2,0,normal_var4,omp_for,cpu_avx512,64,8,24.966016,203.929488,204.157311,4539.808021,5091.306783,5096.994616,0.000000,1,0.0120,1.8000,4,1310720
128,2,0,uniform,omp_collapse2,gpu_warp32,128,32,141.650391,36.994448,37.140374,3337.905897,5240.278052,5260.948511,0.000000,1,0.0120,1.8000,4,327680
128,3,0,sequential,omp_for,cpu_avx512,64,8,6.039062,5386.987793,8616.247603,148073.892967,32532.355967,52034.057789,0.000000,1,0.0120,1.8000,4,1310720
128,3,0,uniform,omp_collapse2,gpu_scalar,128,1,7.312427,76102.822539,76102.847913,167332.895130,556496.315876,556496.501427,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,exact,omp_collapse2,cpu_scalar,64,1,6.097404,1040.696413,1040.752402,3049.742625,6345.546439,6345.887828,0.000000,1,0.0120,1.8000,4,15728640
128,4,0,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,21444.054523,21444.151343,476271.005762,1307936.547405,1307942.452758,0.000000,1,0.0120,1.8000,4,1310720
128,4,0,exact,omp_collapse2,gpu_scalar,128,1,5.784904,531.905194,531.938704,1483.823150,3077.020470,3077.214321,0.000000,1,0.0120,1.8000,4,15728640
128,1,0,sequential,omp_for,gpu_warp32,128,32,80.851172,32.861995,33.056450,3052.362625,2656.930780,2672.652691,0.000000,1,0.0120,1.8000,4,327680
128,1,0,normal_var4,omp_collapse2,cpu_scalar,64,1,3.267627,1759.676267,1759.731775,3981.068592,5749.965599,5750.146977,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,uniform,omp_for,gpu_scalar,128,1,4.497852,1023.145954,1023.176714,2248.404802,4601.958629,4602.096980,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,exact,omp_for,gpu_scalar,128,1,1.011410,21.417741,21.456585,30.746909,21.662107,21.701394,0.000000,1,0.0120,1.8000,4,15728640
128,2,0,exact,omp_collapse2,cpu_scalar,64,1,1.802433,39.049368,39.126078,66.620494,70.383881,70.522145,0.000000,1,0.0120,1.8000,4,15728640
128,3,0,uniform,omp_collapse2,gpu_warp32,128,32,233.891797,2952.375901,2952.443999,263529.902835,690536.504624,690552.432000,0.000000,1,0.0120,1.8000,4,327680
128,4,0,uniform,omp_collapse2,gpu_warp32,128,32,233.891797,2952.409273,2952.497393,263486.189930,690544.309876,690564.920404,0.000000,1,0.0120,1.8000,4,327680
128,1,0,sequential,omp_for,cpu_avx512,64,8,24.969531,205.871382,206.071451,4948.675444,5140.511907,5145.507534,0.000000,1,0.0120,1.8000,4,1310720
128,1,0,exact,omp_for,gpu_scalar,128,1,1.011410,21.408421,21.441026,76.867539,21.652681,21.685658,0.000000,1,0.0120,1.8000,4,15728640
128,2,0,uniform,omp_for,cpu_scalar,64,1,4.998914,1955.807514,1955.869034,4299.736062,9776.912730,9777.220263,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,sequential,omp_for,gpu_scalar,128,1,2.561829,992.660690,992.695947,2180.117979,2543.026559,2543.116880,0.000000,1,0.0120,1.8000,4,10485760
128,2,0,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966016,203.929488,204.157311,4539.808021,5091.306783,5096.994616,0.000000,1,0.0120,1.8000,4,1310720
128,3,0,uniform,omp_for,cpu_scalar,64,1,0.879880,1158.352464,1852.537369,31810.235088,1019.210893,1630.010147,0.000000,1,0.0120,1.8000,4,10485760
128,3,0,sequential,omp_for,gpu_warp32,128,32,12.078125,11189.707206,17896.320154,79083.113933,135150.682353,216153.991855,0.000000,1,0.0120,1.8000,4,327680
128,3,0,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923683,82778.916070,82778.970223,182676.387378,573134.987737,573135.362674,0.000000,1,0.0120,1.8000,4,10485760
