backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,63,0.209642
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,64,0.212400
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,65,0.209521
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,66,0.209000
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,67,0.207801
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,68,0.208200
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,69,0.209482
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,70,0.211280
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,71,0.209002
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,72,0.208560
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,73,0.209761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,74,0.208160
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,75,0.208921
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,76,0.208640
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,77,0.208641
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,78,0.211840
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,79,0.286402
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,80,0.210920
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,81,0.211881
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,82,0.207680
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,83,0.211961
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,84,0.209360
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,85,0.208001
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,86,0.207320
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,87,0.210081
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,88,0.210640
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,89,0.208721
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,90,0.207520
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,91,0.208482
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,92,0.210400
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,93,0.210242
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,94,0.210720
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,95,0.208401
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,96,0.208160
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,97,0.209401
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,98,0.280041
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,99,0.210002
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,0,0.224481
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,1,0.210041
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,2,0.209920
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,3,0.212481
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,4,0.211480
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,5,0.211521
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,6,0.211760
gpu,1,96,122880,81920,81920,exact,1x1_128x1,1,1,128,1,7,0.209161
