variant,N,TB,SB,MT,threads,med_time_ms,std_time_ms,p5_time_ms,p95_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw,status
locbuf_blk_c2_nd,16384,64,16,8,96,3.4795,0.0331,3.4443,3.5531,594.2,617.2,629.4,68.8,PASS
blk_aligned_c2_nd,16384,64,16,8,96,3.5390,0.0414,3.4965,3.6163,571.9,606.8,623.9,67.6,PASS
locbuf_blk_mt_c2_nd,16384,64,16,16,96,3.5549,0.0323,3.5123,3.6002,578.6,604.1,617.7,67.3,PASS
blk_aligned_mt_c2_nd,16384,64,16,16,96,3.5711,0.0408,3.5345,3.6550,580.4,601.3,621.9,67.0,PASS
blk_aligned_c2_nd,16384,64,8,8,96,3.6323,0.0502,3.5948,3.7547,552.6,591.2,605.0,65.9,PASS
locbuf_blk_mt_c2_nd,16384,64,32,16,96,3.6488,0.0717,3.6003,3.7411,522.1,588.5,601.5,65.6,PASS
locbuf_blk_mt_c2_nd,16384,64,128,8,96,3.7411,0.1069,3.6897,3.8229,491.6,574.0,586.1,64.0,PASS
blk_aligned_mt_c2_nd,16384,64,8,8,96,3.7419,0.0811,3.6707,3.9265,517.5,573.9,588.3,63.9,PASS
hptt_patient_blk,16384,0,32,0,96,3.7752,1.4242,3.7557,3.8382,120.7,568.8,573.8,63.4,PASS
blk_aligned_c2_nd,16384,64,64,8,96,3.7790,0.5418,3.6834,4.7114,261.5,568.3,587.2,63.3,PASS
locbuf_blk_c2_nd,16384,64,128,8,96,3.8119,0.0843,3.7490,3.9075,482.8,563.4,583.9,62.8,PASS
locbuf_blk_c2_nd,16384,64,64,8,96,3.8168,0.0679,3.7152,3.9270,533.7,562.6,591.1,62.7,PASS
locbuf_blk_mt_c2_nd,16384,64,8,8,96,3.9124,0.0527,3.8589,4.0065,509.0,548.9,562.7,61.2,PASS
locbuf_blk_c2_nd,16384,64,8,8,96,3.9425,1.2726,3.8561,4.0656,128.4,544.7,562.7,60.7,PASS
locbuf_blk_mt_c2_nd,16384,64,64,8,96,3.9532,0.1260,3.9116,4.0740,422.2,543.2,555.9,60.5,PASS
locbuf_blk_mt_c2_nd,16384,64,32,4,96,3.9609,0.1037,3.8942,4.2589,501.5,542.2,555.7,60.4,PASS
locbuf_blk_mt_c2_nd,16384,64,64,32,96,4.0393,1.0134,3.9980,4.3650,151.9,531.6,548.9,59.2,PASS
blk_aligned_mt_c2_nd,16384,64,64,32,96,4.0587,0.0669,4.0306,4.2109,481.4,529.1,534.7,59.0,PASS
locbuf_blk_mt_c2_nd,16384,64,128,16,96,4.0696,0.6207,4.0227,4.1693,208.6,527.7,536.2,58.8,PASS
blk_aligned_mt_c2_nd,16384,64,64,4,96,4.0728,0.0650,4.0288,4.1881,484.2,527.3,535.9,58.7,PASS
