variant,N,BX,BY,TX,TY,SB,PAD,med_time_ms,std_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw
naive,16384,32,8,1,8,32,1,4.3425,0.0291,485.1,494.5,502.8,13.9
blocked,16384,32,8,1,8,32,1,4.0127,0.0287,515.2,535.2,542.8,15.0
blocked,16384,32,8,1,8,64,1,4.4712,0.0329,468.3,480.3,488.7,13.5
blocked,16384,32,8,1,8,128,1,4.0062,0.0323,512.9,536.0,544.6,15.1
blocked,16384,32,8,1,8,256,1,4.3368,0.0664,474.9,495.2,506.9,13.9
smem,16384,32,8,1,8,32,1,0.8278,0.0302,2188.2,2594.3,2698.4,72.9
smem_blk,16384,32,8,1,8,32,1,0.8348,0.0425,2004.7,2572.6,2672.5,72.2
smem_blk,16384,32,8,1,8,64,1,0.8267,0.0428,2047.5,2597.6,2697.7,73.0
smem_blk,16384,32,8,1,8,128,1,0.8280,0.0324,2124.0,2593.6,2672.3,72.8
smem_blk,16384,32,8,1,8,256,1,0.8294,0.0306,2219.0,2589.3,2697.7,72.7
smem_pad,16384,32,8,1,8,32,1,0.8153,0.0149,2392.8,2633.8,2707.5,74.0
smem_swiz,16384,32,8,1,8,32,1,0.8230,0.0293,2421.2,2609.2,2842.7,73.3
smem_blk_swiz,16384,32,8,1,8,32,1,0.8081,0.0370,2203.3,2657.3,2812.7,74.6
smem_blk_swiz,16384,32,8,1,8,64,1,0.8133,0.0303,2445.1,2640.4,2815.0,74.2
smem_blk_swiz,16384,32,8,1,8,128,1,0.8049,0.0353,2277.9,2668.1,2819.8,74.9
smem_blk_swiz,16384,32,8,1,8,256,1,0.8047,0.0352,2264.8,2668.7,2851.9,74.9
smem_pad_blk,16384,32,8,1,8,32,1,0.7939,0.0267,2216.7,2705.1,2728.8,76.0
smem_pad_blk_vec,16384,32,8,1,8,32,1,0.6776,0.0449,2374.8,3169.4,3250.8,89.0
smem_pad_blk_vec_2x,16384,32,8,1,8,32,1,0.6878,0.0438,2351.7,3122.3,3208.3,87.7
naive,16384,32,16,1,8,32,1,3.8553,0.1213,425.7,557.0,563.2,15.6
blocked,16384,32,16,1,8,32,1,4.1443,0.1014,418.1,518.2,526.4,14.6
blocked,16384,32,16,1,8,64,1,3.8562,0.1216,425.3,556.9,563.0,15.6
blocked,16384,32,16,1,8,128,1,4.1506,0.0261,506.0,517.4,525.0,14.5
blocked,16384,32,16,1,8,256,1,3.8559,0.1126,433.8,556.9,562.6,15.6
smem,16384,32,16,1,8,32,1,0.8846,0.0357,2010.5,2427.6,2515.6,68.2
smem_blk,16384,32,16,1,8,32,1,0.8779,0.0279,2071.7,2446.0,2530.8,68.7
smem_blk,16384,32,16,1,8,64,1,0.8867,0.0329,2058.1,2422.0,2512.8,68.0
smem_blk,16384,32,16,1,8,128,1,0.8797,0.0362,2031.2,2441.3,2529.9,68.6
smem_blk,16384,32,16,1,8,256,1,0.8861,0.0334,2065.5,2423.6,2517.0,68.1
smem_pad,16384,32,16,1,8,32,1,0.8557,0.0270,2108.0,2509.6,2539.2,70.5
smem_swiz,16384,32,16,1,8,32,1,0.8331,0.0236,2329.8,2577.8,2746.3,72.4
smem_blk_swiz,16384,32,16,1,8,32,1,0.8256,0.0159,2473.2,2601.0,2775.8,73.0
smem_blk_swiz,16384,32,16,1,8,64,1,0.8239,0.0272,2267.5,2606.4,2774.2,73.2
smem_blk_swiz,16384,32,16,1,8,128,1,0.8301,0.0218,2383.7,2586.9,2748.8,72.7
smem_blk_swiz,16384,32,16,1,8,256,1,0.8339,0.0223,2362.8,2575.2,2761.4,72.3
smem_pad_blk,16384,32,16,1,8,32,1,0.8565,0.0149,2348.5,2507.3,2531.8,70.4
smem_pad_blk_vec,16384,32,16,1,8,32,1,0.6856,0.0149,2805.0,3132.2,3237.2,88.0
smem_pad_blk_vec_2x,16384,32,16,1,8,32,1,0.6720,0.0122,2868.2,3195.7,3225.8,89.7
naive,16384,32,8,2,4,32,1,3.4576,0.0906,508.1,621.1,639.9,17.4
blocked,16384,32,8,2,4,32,1,3.2683,0.0974,517.4,657.1,670.5,18.5
blocked,16384,32,8,2,4,64,1,3.4552,0.0543,589.8,621.5,641.1,17.5
blocked,16384,32,8,2,4,128,1,3.2683,0.0527,607.0,657.1,674.5,18.5
blocked,16384,32,8,2,4,256,1,3.4661,0.0597,593.0,619.6,643.4,17.4
smem,16384,32,8,2,4,32,1,0.8366,0.0414,2027.2,2567.0,2670.7,72.1
smem_blk,16384,32,8,2,4,32,1,0.8457,0.0314,2079.5,2539.3,2630.0,71.3
smem_blk,16384,32,8,2,4,64,1,0.8394,0.0450,2006.2,2558.2,2662.0,71.8
smem_blk,16384,32,8,2,4,128,1,0.8486,0.0406,2019.1,2530.7,2627.8,71.1
smem_blk,16384,32,8,2,4,256,1,0.8357,0.0297,2179.0,2569.7,2662.4,72.2
smem_pad,16384,32,8,2,4,32,1,0.8201,0.0144,2437.1,2618.6,2654.6,73.5
smem_swiz,16384,32,8,2,4,32,1,0.8254,0.0248,2511.2,2601.6,2763.7,73.1
smem_blk_swiz,16384,32,8,2,4,32,1,0.8296,0.0257,2334.2,2588.6,2758.1,72.7
smem_blk_swiz,16384,32,8,2,4,64,1,0.8245,0.0253,2450.0,2604.7,2781.7,73.2
smem_blk_swiz,16384,32,8,2,4,128,1,0.8211,0.0373,2118.7,2615.5,2779.4,73.5
smem_blk_swiz,16384,32,8,2,4,256,1,0.8178,0.0376,2188.3,2625.9,2783.9,73.7
smem_pad_blk,16384,32,8,2,4,32,1,0.8209,0.0141,2449.9,2616.0,2650.2,73.5
smem_pad_blk_vec,16384,32,8,2,4,32,1,0.6634,0.0137,2788.6,3237.2,3273.0,90.9
smem_pad_blk_vec_2x,16384,32,8,2,4,32,1,0.6836,0.0140,2776.8,3141.4,3223.7,88.2
naive,16384,32,16,2,4,32,1,3.2454,0.0711,612.7,661.7,693.3,18.6
blocked,16384,32,16,2,4,32,1,3.3901,0.1023,524.9,633.5,666.4,17.8
blocked,16384,32,16,2,4,64,1,3.2464,0.0629,629.8,661.5,685.8,18.6
blocked,16384,32,16,2,4,128,1,3.4041,0.1451,463.3,630.8,665.9,17.7
blocked,16384,32,16,2,4,256,1,3.2546,0.0652,621.5,659.8,693.0,18.5
smem,16384,32,16,2,4,32,1,0.9157,0.0310,1973.7,2345.2,2456.2,65.9
smem_blk,16384,32,16,2,4,32,1,0.8963,0.0344,1946.4,2395.8,2486.0,67.3
smem_blk,16384,32,16,2,4,64,1,0.9023,0.0351,1945.3,2380.0,2463.9,66.8
smem_blk,16384,32,16,2,4,128,1,0.8973,0.0349,1919.1,2393.3,2485.3,67.2
smem_blk,16384,32,16,2,4,256,1,0.9043,0.0342,1979.1,2374.8,2463.3,66.7
smem_pad,16384,32,16,2,4,32,1,0.8839,0.0137,2303.6,2429.4,2487.8,68.2
smem_swiz,16384,32,16,2,4,32,1,0.8537,0.0385,1964.1,2515.5,2614.9,70.6
smem_blk_swiz,16384,32,16,2,4,32,1,0.8388,0.0212,2322.0,2560.3,2731.3,71.9
smem_blk_swiz,16384,32,16,2,4,64,1,0.8407,0.0196,2352.1,2554.5,2692.7,71.7
smem_blk_swiz,16384,32,16,2,4,128,1,0.8479,0.0372,2002.9,2532.6,2641.3,71.1
smem_blk_swiz,16384,32,16,2,4,256,1,0.8544,0.0373,1999.9,2513.3,2618.1,70.6
smem_pad_blk,16384,32,16,2,4,32,1,0.9092,0.0372,1907.6,2361.9,2470.4,66.3
smem_pad_blk_vec,16384,32,16,2,4,32,1,0.6813,0.0413,2337.5,3152.2,3237.5,88.5
smem_pad_blk_vec_2x,16384,32,16,2,4,32,1,0.6516,0.0160,2867.4,3295.8,3321.2,92.6
naive,16384,32,8,4,1,32,1,3.1195,0.0499,617.6,688.4,698.2,19.3
blocked,16384,32,8,4,1,32,1,3.0055,0.0718,650.4,714.5,733.6,20.1
blocked,16384,32,8,4,1,64,1,3.1188,0.0478,622.2,688.6,700.2,19.3
blocked,16384,32,8,4,1,128,1,3.0593,0.0682,647.0,702.0,735.3,19.7
blocked,16384,32,8,4,1,256,1,3.1461,0.0533,631.4,682.6,698.0,19.2
smem,16384,32,8,4,1,32,1,1.3501,0.0370,1305.2,1590.6,1623.3,44.7
smem_blk,16384,32,8,4,1,32,1,1.4080,0.0555,1307.0,1525.2,1600.3,42.8
smem_blk,16384,32,8,4,1,64,1,1.3897,0.0310,1370.8,1545.3,1568.6,43.4
smem_blk,16384,32,8,4,1,128,1,1.4282,0.0433,1348.6,1503.6,1576.4,42.2
smem_blk,16384,32,8,4,1,256,1,1.3414,0.0359,1313.8,1600.9,1627.7,45.0
smem_pad,16384,32,8,4,1,32,1,1.3968,0.0455,1335.8,1537.4,1585.0,43.2
smem_swiz,16384,32,8,4,1,32,1,1.3554,0.0345,1361.1,1584.4,1619.6,44.5
smem_blk_swiz,16384,32,8,4,1,32,1,1.4392,0.0523,1302.4,1492.1,1583.6,41.9
smem_blk_swiz,16384,32,8,4,1,64,1,1.3566,0.0350,1368.8,1583.0,1620.6,44.5
smem_blk_swiz,16384,32,8,4,1,128,1,1.4542,0.0418,1328.4,1476.8,1565.1,41.5
smem_blk_swiz,16384,32,8,4,1,256,1,1.3687,0.0354,1330.5,1569.0,1612.2,44.1
smem_pad_blk,16384,32,8,4,1,32,1,1.4030,0.0439,1321.8,1530.6,1578.4,43.0
smem_pad_blk_vec,16384,32,8,4,1,32,1,1.6635,0.0139,1239.7,1290.9,1316.4,36.3
smem_pad_blk_vec_2x,16384,32,8,4,1,32,1,1.3494,0.0410,1348.0,1591.5,1624.6,44.7
naive,16384,32,16,4,1,32,1,2.5219,0.0698,749.0,851.5,868.6,23.9
blocked,16384,32,16,4,1,32,1,2.5471,0.0585,754.8,843.1,869.1,23.7
blocked,16384,32,16,4,1,64,1,2.5305,0.0610,757.5,848.6,873.9,23.8
blocked,16384,32,16,4,1,128,1,2.5394,0.0639,749.9,845.7,861.9,23.7
blocked,16384,32,16,4,1,256,1,2.5500,0.0617,752.2,842.2,865.1,23.7
smem,16384,32,16,4,1,32,1,1.0275,0.0204,1872.0,2090.0,2133.3,58.7
smem_blk,16384,32,16,4,1,32,1,0.9642,0.0229,2039.1,2227.3,2290.9,62.6
smem_blk,16384,32,16,4,1,64,1,1.0232,0.0306,1769.5,2098.8,2123.5,58.9
smem_blk,16384,32,16,4,1,128,1,0.9639,0.0195,2046.1,2228.0,2273.5,62.6
smem_blk,16384,32,16,4,1,256,1,1.0255,0.0289,1768.8,2094.0,2119.3,58.8
smem_pad,16384,32,16,4,1,32,1,0.9747,0.0209,2059.6,2203.2,2269.8,61.9
smem_swiz,16384,32,16,4,1,32,1,1.0401,0.0337,1698.8,2064.6,2097.2,58.0
smem_blk_swiz,16384,32,16,4,1,32,1,0.9822,0.0221,2042.6,2186.4,2262.3,61.4
smem_blk_swiz,16384,32,16,4,1,64,1,1.0502,0.0319,1743.9,2044.8,2095.8,57.4
smem_blk_swiz,16384,32,16,4,1,128,1,0.9809,0.0218,2032.3,2189.4,2263.4,61.5
smem_blk_swiz,16384,32,16,4,1,256,1,1.0541,0.0191,1935.8,2037.2,2095.1,57.2
smem_pad_blk,16384,32,16,4,1,32,1,0.9737,0.0221,2031.5,2205.5,2271.0,61.9
