nlev,variant,blocking,tile_y,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,1,0,0,uniform,omp_for,cpu_avx512,64,8,39.927930,256.110766,255.956729,5930.268995,10225.972653,10219.822261,0.000000,0.6000,0.4000,0.0500,4,921600
90,1,0,0,sequential,omp_for,cpu_avx512,64,8,24.969531,205.865095,205.628898,4948.660303,5140.354928,5134.457199,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,normal_var1,omp_collapse2,cpu_avx512,64,8,24.962016,204.448765,202.017421,4538.793919,5103.453366,5042.762110,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,sequential,omp_for,cpu_scalar,64,1,3.124744,1834.837976,1834.754786,4028.743289,5733.398318,5733.138370,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,sequential,omp_for,gpu_scalar,128,1,2.561829,993.170833,993.136414,2207.963456,2544.333458,2544.245283,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,uniform,omp_collapse2,gpu_warp32,128,32,233.891797,2076.620618,1418.849413,185263.501412,485704.527804,331857.238947,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,exact,omp_for,gpu_warp32,128,32,20.005208,8.353563,7.506000,813.911738,167.114772,150.159093,0.000000,0.6000,0.4000,0.0500,4,345600
90,1,0,0,sequential,omp_collapse2,cpu_avx512,64,8,24.969533,205.875357,203.463499,4948.674672,5140.611611,5080.388644,0.000000,0.6000,0.4000,0.0500,4,921600
90,1,0,0,uniform,omp_collapse2,cpu_scalar,64,1,4.998914,1958.459331,1937.728242,4396.810478,9790.168934,9686.536015,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,exact,omp_for,cpu_avx512,64,8,10.509440,14.057344,13.553776,1297.179690,147.734811,142.442594,0.000000,0.6000,0.4000,0.0500,4,1382400
90,2,0,0,normal_var4,omp_collapse2,cpu_scalar,64,1,3.267627,1757.686786,1739.074340,3872.995303,5743.465195,5682.646660,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,normal_var1,omp_collapse2,gpu_scalar,128,1,2.584815,989.020468,978.558124,2206.443162,2556.434668,2529.391446,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,sequential,omp_for,gpu_warp32,128,32,80.851172,32.942582,32.646516,2925.849078,2663.446352,2639.509097,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,sequential,omp_collapse2,gpu_warp32,128,32,80.851189,32.870739,32.292462,3052.360001,2657.638308,2610.883953,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,normal_var1,omp_for,gpu_scalar,128,1,2.584814,989.019920,988.987046,2206.442307,2556.432985,2556.348010,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var1,omp_for,gpu_scalar,128,1,2.584814,988.509117,988.469776,2179.310261,2555.112652,2555.010964,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,uniform,omp_collapse2,gpu_warp32,128,32,141.650417,36.947496,36.419634,3410.087095,5233.628182,5158.856370,0.000000,0.6000,0.4000,0.0500,4,230400
90,2,0,0,sequential,omp_for,cpu_avx512,64,8,24.969531,204.588943,204.315415,4539.568905,5108.490016,5101.660143,0.000000,0.6000,0.4000,0.0500,4,921600
90,1,0,0,uniform,omp_for,cpu_scalar,64,1,4.998914,1958.457983,1958.398057,4396.809239,9790.162198,9789.862629,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,56618.203963,48177.329122,124878.484497,401778.450036,341879.665749,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,exact,omp_collapse2,gpu_scalar,128,1,1.011410,21.408660,21.269356,76.867589,21.652926,21.512027,0.000000,0.6000,0.4000,0.0500,4,11059200
90,1,0,0,exact,omp_collapse2,cpu_avx512,64,8,10.509447,14.066863,13.474496,1297.188214,147.834946,141.609406,0.000000,0.6000,0.4000,0.0500,4,1382400
90,1,0,0,exact,omp_collapse2,gpu_warp32,128,32,20.005231,8.373708,7.470067,813.930786,167.517968,149.440365,0.000000,0.6000,0.4000,0.0500,4,345600
90,2,0,0,normal_var4,omp_collapse2,gpu_warp32,128,32,80.856658,32.718493,32.072043,2926.235733,2645.507997,2593.238150,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,256.121749,253.269613,5930.285169,10226.411169,10112.531290,0.000000,0.6000,0.4000,0.0500,4,921600
90,3,0,0,uniform,omp_for,gpu_warp32,128,32,17.218909,27068.932104,7807.254492,103412.530671,466097.580013,134433.395109,0.000000,0.6000,0.4000,0.0500,4,163840
90,3,0,0,normal_var4,omp_for,cpu_scalar,64,1,0.896909,1056.283393,303.176221,45038.676700,947.390620,271.912043,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,exact,omp_collapse2,cpu_scalar,64,1,6.097404,729.890703,623.250594,2034.222275,4450.438637,3800.210112,0.000000,0.6000,0.4000,0.0500,4,11059200
90,3,0,0,sequential,omp_for,gpu_warp32,128,32,14.781244,15767.819740,4543.944529,60198.385579,233067.978800,67164.841124,0.000000,0.6000,0.4000,0.0500,4,163840
90,4,0,0,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,56485.979047,48064.789750,124486.163433,400840.145418,341081.055229,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,uniform,omp_for,cpu_avx512,64,8,7.397657,10988.605055,3170.609016,183773.873668,81289.940271,23455.212704,0.000000,0.6000,0.4000,0.0500,4,901120
90,4,0,0,normal_var1,omp_collapse2,cpu_avx512,64,8,52.232650,8833.366539,7516.221325,195727.820300,461390.140353,392592.155617,0.000000,0.6000,0.4000,0.0500,4,921600
90,4,0,0,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907895,1304.207580,891.505024,109179.346063,259417.184337,177327.387031,0.000000,0.6000,0.4000,0.0500,4,230400
90,4,0,0,exact,omp_collapse2,gpu_warp32,128,32,146.230312,375.506396,257.546753,4459.164955,54910.417538,37661.141865,0.000000,0.6000,0.4000,0.0500,4,345600
90,2,0,0,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,992.661070,982.146231,2180.118324,2543.027803,2516.090584,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,sequential,omp_collapse2,gpu_warp32,128,32,80.851189,32.966107,32.319880,2925.882904,2665.348926,2613.100746,0.000000,0.6000,0.4000,0.0500,4,230400
90,2,0,0,sequential,omp_collapse2,cpu_avx512,64,8,24.969533,204.600851,202.166127,4539.585266,5108.787791,5047.993870,0.000000,0.6000,0.4000,0.0500,4,921600
90,3,0,0,normal_var1,omp_for,gpu_warp32,128,32,16.693811,14114.911760,4070.085335,53535.972298,235631.634130,67945.251276,0.000000,0.6000,0.4000,0.0500,4,163840
90,4,0,0,exact,omp_collapse2,cpu_avx512,64,8,40.891547,484.603021,411.312837,4831.517154,19816.166940,16819.216988,0.000000,0.6000,0.4000,0.0500,4,1382400
90,4,0,0,normal_var4,omp_collapse2,cpu_avx512,64,8,52.070545,8843.386685,7525.750797,196436.748590,460479.961781,391869.943318,0.000000,0.6000,0.4000,0.0500,4,921600
90,4,0,0,normal_var4,omp_collapse2,gpu_warp32,128,32,198.246194,1301.504028,889.542023,109544.462322,258018.219455,176348.319435,0.000000,0.6000,0.4000,0.0500,4,230400
