backend,variant,nlev,N_e,N_c,N_v,cell_dist,blocking,parallelization,run_id,time_ms
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,93,13.025147000
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,94,13.316786000
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,95,14.925474000
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,96,12.645127000
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,97,13.550091000
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,98,13.012123000
cpu,1,256,122880,81920,81920,uniform,0,omp_collapse2_je,99,12.929598000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,0,12.514570000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,1,12.865791000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,2,12.403789000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,3,12.350224000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,4,12.022009000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,5,12.017945000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,6,12.122582000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,7,14.109275000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,8,11.680323000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,9,12.555528000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,10,11.994202000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,11,12.127605000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,12,12.584680000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,13,12.921982000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,14,12.493035000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,15,12.181300000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,16,12.055479000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,17,11.884766000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,18,11.883996000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,19,12.573000000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,20,12.724036000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,21,12.510538000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,22,11.960699000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,23,12.501994000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,24,12.160309000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,25,11.837471000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,26,14.366131000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,27,12.816673000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,28,11.972186000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,29,12.469164000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,30,12.580776000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,31,12.005466000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,32,11.699395000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,33,12.123510000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,34,12.221074000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,35,11.691267000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,36,12.316976000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,37,12.517771000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,38,12.519178000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,39,12.168789000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,40,12.123573000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,41,13.146455000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,42,12.342320000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,43,11.808063000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,44,12.078583000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,45,11.813279000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,46,12.229683000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,47,11.926012000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,48,13.148183000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,49,12.069175000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,50,12.391277000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,51,13.386320000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,52,12.182612000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,53,11.818591000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,54,12.263825000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,55,11.899965000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,56,12.868416000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,57,12.133205000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,58,12.255954000
cpu,1,256,122880,81920,81920,uniform,0,omp_numa4,59,11.895644000
