nlev,variant,blocking,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,4,0,0,omp_for,gpu_scalar,128,1,0.391791,0.083644,0.083021,0.083644,0.032771,0.032527,0.000000,0.6000,0.4000,0.0500,4,5488640
90,2,0,0,omp_for,cpu_avx512,64,8,15.000000,3.716194,1.299329,5.182850,55.742906,19.489930,0.000000,0.6000,0.4000,0.0500,4,686080
90,3,0,0,omp_for,gpu_warp32,128,32,15.000000,4.532083,4.513074,6.322738,67.981246,67.696111,0.000000,0.6000,0.4000,0.0500,4,81920
90,2,0,0,omp_for,gpu_scalar,128,1,0.937500,0.433092,0.146587,0.433092,0.406024,0.137425,0.000000,0.6000,0.4000,0.0500,4,5488640
90,1,0,0,omp_for,gpu_scalar,128,1,0.937500,0.433092,0.146587,0.433092,0.406024,0.137425,0.000000,0.6000,0.4000,0.0500,4,5488640
90,2,0,0,omp_for,cpu_scalar,64,1,1.875000,0.741195,0.257239,0.741195,1.389740,0.482324,0.000000,0.6000,0.4000,0.0500,4,5488640
90,4,0,0,omp_for,cpu_scalar,64,1,0.708955,0.163112,0.161922,0.163112,0.115639,0.114795,0.000000,0.6000,0.4000,0.0500,4,5488640
90,3,0,0,omp_for,gpu_scalar,128,1,0.391791,0.083644,0.083021,0.083644,0.032771,0.032527,0.000000,0.6000,0.4000,0.0500,4,5488640
90,1,0,0,omp_for,cpu_scalar,64,1,1.875000,0.741195,0.257239,0.741195,1.389740,0.482324,0.000000,0.6000,0.4000,0.0500,4,5488640
90,3,0,0,omp_for,cpu_scalar,64,1,0.708955,0.163112,0.161922,0.163112,0.115639,0.114795,0.000000,0.6000,0.4000,0.0500,4,5488640
90,2,0,0,omp_for,gpu_warp32,128,32,30.000000,6.930019,2.335479,10.863245,207.900583,70.064377,0.000000,0.6000,0.4000,0.0500,4,171520
90,1,0,0,omp_for,gpu_warp32,128,32,30.000000,6.930019,2.335479,10.863245,207.900583,70.064377,0.000000,0.6000,0.4000,0.0500,4,171520
90,3,0,0,omp_for,cpu_avx512,64,8,5.625000,1.310462,1.302851,2.045341,7.371347,7.328539,0.000000,0.6000,0.4000,0.0500,4,655360
90,4,0,0,omp_for,gpu_warp32,128,32,15.000000,4.532083,4.513074,6.322738,67.981246,67.696111,0.000000,0.6000,0.4000,0.0500,4,81920
90,1,0,0,omp_for,cpu_avx512,64,8,15.000000,3.716194,1.299329,5.182850,55.742906,19.489930,0.000000,0.6000,0.4000,0.0500,4,686080
90,4,0,0,omp_for,cpu_avx512,64,8,5.625000,1.310462,1.302851,2.045341,7.371347,7.328539,0.000000,0.6000,0.4000,0.0500,4,655360
90,0,16,0,omp_collapse2,cpu_scalar,64,1,10.298507,1.750545,1.729403,2.794280,18.027996,17.810274,0.078125,0.6000,0.4000,0.0500,4,343040
90,0,32,0,omp_for,gpu_warp32,128,32,10.298507,1.750343,1.729211,2.794032,18.025919,17.808294,0.156250,0.6000,0.4000,0.0500,4,171520
90,0,16,0,omp_for,gpu_warp32,128,32,5.149254,1.125275,1.113581,1.147149,5.794327,5.734114,0.078125,0.6000,0.4000,0.0500,4,343040
90,0,64,0,omp_for,gpu_warp32,128,32,20.597015,2.999855,2.959880,6.087004,61.788067,60.964691,0.312500,0.6000,0.4000,0.0500,4,85760
90,0,64,0,omp_collapse2,gpu_warp32,128,32,20.597015,2.999855,2.959880,6.087004,61.788067,60.964691,0.312500,0.6000,0.4000,0.0500,4,85760
90,0,32,0,omp_for,cpu_scalar,64,1,20.597015,3.000674,2.960658,6.088029,61.804927,60.980722,0.156250,0.6000,0.4000,0.0500,4,171520
