variant,tblock,coarsen,rep,time_ms
gpu_shared_bec_aos,32,1,16,0.004080
gpu_shared_bec_aos,32,1,17,0.003720
gpu_shared_bec_aos,32,1,18,0.004520
gpu_shared_bec_aos,32,1,19,0.004000
gpu_shared_bec_aos,32,1,20,0.003920
gpu_shared_bec_aos,32,1,21,0.003840
gpu_shared_bec_aos,32,1,22,0.003880
gpu_shared_bec_aos,32,1,23,0.003960
gpu_shared_bec_aos,32,1,24,0.003800
gpu_shared_bec_aos,32,1,25,0.003760
gpu_shared_bec_aos,32,1,26,0.005840
gpu_shared_bec_aos,32,1,27,0.005400
gpu_shared_bec_aos,32,1,28,0.005840
gpu_shared_bec_aos,32,1,29,0.005360
gpu_shared_bec_aos,32,1,30,0.006880
gpu_shared_bec_aos,32,1,31,0.005000
gpu_shared_bec_aos,32,1,32,0.005520
gpu_shared_bec_aos,32,1,33,0.003720
gpu_shared_bec_aos,32,1,34,0.005400
gpu_shared_bec_aos,32,1,35,0.004000
gpu_shared_bec_aos,32,1,36,0.005400
gpu_shared_bec_aos,32,1,37,0.004160
gpu_shared_bec_aos,32,1,38,0.004440
gpu_shared_bec_aos,32,1,39,0.004760
gpu_shared_bec_aos,32,1,40,0.004440
gpu_shared_bec_aos,32,1,41,0.006200
gpu_shared_bec_aos,32,1,42,0.004280
gpu_shared_bec_aos,32,1,43,0.003760
gpu_shared_bec_aos,32,1,44,0.004080
gpu_shared_bec_aos,32,1,45,0.005000
gpu_shared_bec_aos,32,1,46,0.005160
gpu_shared_bec_aos,32,1,47,0.005280
gpu_shared_bec_aos,32,1,48,0.004440
gpu_shared_bec_aos,32,1,49,0.003880
gpu_shared_bec_aos,32,1,50,0.006080
gpu_shared_bec_aos,32,1,51,0.004560
gpu_shared_bec_aos,32,1,52,0.004280
gpu_shared_bec_aos,32,1,53,0.004080
gpu_shared_bec_aos,32,1,54,0.004520
gpu_shared_bec_aos,32,1,55,0.005520
gpu_shared_bec_aos,32,1,56,0.004440
gpu_shared_bec_aos,32,1,57,0.005480
gpu_shared_bec_aos,32,1,58,0.005080
gpu_shared_bec_aos,32,1,59,0.003800
gpu_shared_bec_aos,32,1,60,0.004640
gpu_shared_bec_aos,32,1,61,0.004640
gpu_shared_bec_aos,32,1,62,0.007000
gpu_shared_bec_aos,32,1,63,0.005040
gpu_shared_bec_aos,32,1,64,0.004360
gpu_shared_bec_aos,32,1,65,0.004320
gpu_shared_bec_aos,32,1,66,0.004880
gpu_shared_bec_aos,32,1,67,0.004640
gpu_shared_bec_aos,32,1,68,0.005040
gpu_shared_bec_aos,32,1,69,0.004120
gpu_shared_bec_aos,32,1,70,0.006040
gpu_shared_bec_aos,32,1,71,0.004680
gpu_shared_bec_aos,32,1,72,0.005640
gpu_shared_bec_aos,32,1,73,0.005440
gpu_shared_bec_aos,32,1,74,0.006000
gpu_shared_bec_aos,32,1,75,0.004800
gpu_shared_bec_aos,32,1,76,0.006080
gpu_shared_bec_aos,32,1,77,0.004560
gpu_shared_bec_aos,32,1,78,0.004480
gpu_shared_bec_aos,32,1,79,0.005040
gpu_shared_bec_aos,32,1,80,0.006680
gpu_shared_bec_aos,32,1,81,0.005240
gpu_shared_bec_aos,32,1,82,0.006840
gpu_shared_bec_aos,32,1,83,0.003761
gpu_shared_bec_aos,32,1,84,0.005040
gpu_shared_bec_aos,32,1,85,0.004680
gpu_shared_bec_aos,32,1,86,0.006200
gpu_shared_bec_aos,32,1,87,0.005680
gpu_shared_bec_aos,32,1,88,0.005800
gpu_shared_bec_aos,32,1,89,0.006720
