backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,jk_outer,0,5.961710
cpu,1,256,163840,uniform,V1,jk_outer,1,5.974862
cpu,1,256,163840,uniform,V1,jk_outer,2,11.405356
cpu,1,256,163840,uniform,V1,jk_outer,3,5.973645
cpu,1,256,163840,uniform,V1,jk_outer,4,6.212454
cpu,1,256,163840,uniform,V1,jk_outer,5,6.079786
cpu,1,256,163840,uniform,V1,jk_outer,6,6.168424
cpu,1,256,163840,uniform,V1,jk_outer,7,6.057932
cpu,1,256,163840,uniform,V1,jk_outer,8,6.055019
cpu,1,256,163840,uniform,V1,jk_outer,9,5.986925
cpu,1,256,163840,uniform,V1,jk_outer,10,6.031948
cpu,1,256,163840,uniform,V1,jk_outer,11,5.968494
cpu,1,256,163840,uniform,V1,jk_outer,12,6.114378
cpu,1,256,163840,uniform,V1,jk_outer,13,5.977838
cpu,1,256,163840,uniform,V1,jk_outer,14,6.087082
cpu,1,256,163840,uniform,V1,jk_outer,15,5.951950
cpu,1,256,163840,uniform,V1,jk_outer,16,6.043467
cpu,1,256,163840,uniform,V1,jk_outer,17,7.464705
cpu,1,256,163840,uniform,V1,jk_outer,18,6.030252
cpu,1,256,163840,uniform,V1,jk_outer,19,6.007533
cpu,1,256,163840,uniform,V1,jk_outer,20,5.968109
cpu,1,256,163840,uniform,V1,jk_outer,21,6.070058
cpu,1,256,163840,uniform,V1,jk_outer,22,6.030636
cpu,1,256,163840,uniform,V1,jk_outer,23,7.601213
cpu,1,256,163840,uniform,V1,jk_outer,24,6.029932
cpu,1,256,163840,uniform,V1,jk_outer,25,5.948750
cpu,1,256,163840,uniform,V1,jk_outer,26,6.051403
cpu,1,256,163840,uniform,V1,jk_outer,27,5.991373
cpu,1,256,163840,uniform,V1,jk_outer,28,8.838968
cpu,1,256,163840,uniform,V1,jk_outer,29,7.789080
cpu,1,256,163840,uniform,V1,jk_outer,30,5.954318
cpu,1,256,163840,uniform,V1,jk_outer,31,6.017452
cpu,1,256,163840,uniform,V1,jk_outer,32,6.019724
cpu,1,256,163840,uniform,V1,jk_outer,33,5.994029
cpu,1,256,163840,uniform,V1,jk_outer,34,5.978702
cpu,1,256,163840,uniform,V1,jk_outer,35,7.343013
cpu,1,256,163840,uniform,V1,jk_outer,36,5.983533
cpu,1,256,163840,uniform,V1,jk_outer,37,6.044075
cpu,1,256,163840,uniform,V1,jk_outer,38,5.997037
cpu,1,256,163840,uniform,V1,jk_outer,39,6.154760
cpu,1,256,163840,uniform,V1,jk_outer,40,5.955374
cpu,1,256,163840,uniform,V1,jk_outer,41,6.282788
cpu,1,256,163840,uniform,V1,jk_outer,42,5.942031
cpu,1,256,163840,uniform,V1,jk_outer,43,6.067051
cpu,1,256,163840,uniform,V1,jk_outer,44,5.983373
cpu,1,256,163840,uniform,V1,jk_outer,45,5.988173
cpu,1,256,163840,uniform,V1,jk_outer,46,6.067531
cpu,1,256,163840,uniform,V1,jk_outer,47,6.021836
cpu,1,256,163840,uniform,V1,jk_outer,48,5.982382
cpu,1,256,163840,uniform,V1,jk_outer,49,6.293989
cpu,1,256,163840,uniform,V1,jk_outer,50,5.918735
cpu,1,256,163840,uniform,V1,jk_outer,51,5.990574
cpu,1,256,163840,uniform,V1,jk_outer,52,5.986381
cpu,1,256,163840,uniform,V1,jk_outer,53,5.954927
cpu,1,256,163840,uniform,V1,jk_outer,54,6.942897
cpu,1,256,163840,uniform,V1,jk_outer,55,6.024780
cpu,1,256,163840,uniform,V1,jk_outer,56,5.979885
cpu,1,256,163840,uniform,V1,jk_outer,57,6.012460
