nlev,variant,blocking,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,0,64,0,omp_collapse2,gpu_scalar,128,1,12.222222,2.490561,2.481316,5.463626,30.440184,30.327199,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,8,0,omp_for,gpu_warp32,128,32,1.644444,0.515233,0.485832,0.515233,0.847272,0.798924,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,16,0,omp_for,cpu_scalar,64,1,6.311111,1.502297,1.466022,2.469882,9.481162,9.252230,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,32,0,omp_for,cpu_scalar,64,1,12.355556,2.482356,2.462010,5.426897,30.670887,30.419502,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,16,0,omp_for,gpu_warp32,128,32,3.155556,1.012688,0.985553,1.012688,3.195595,3.109966,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,16,0,omp_collapse2,gpu_warp32,128,32,3.155556,1.012688,0.985553,1.012688,3.195595,3.109966,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,16,0,omp_collapse2,gpu_scalar,128,1,3.155556,1.012688,0.985553,1.012688,3.195595,3.109966,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,64,0,omp_for,cpu_scalar,64,1,24.444444,4.470401,4.459567,11.400654,109.276466,109.011641,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,16,0,omp_collapse2,cpu_avx512,64,8,6.311111,1.502297,1.466022,2.469882,9.481162,9.252230,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,16,0,omp_for,gpu_scalar,128,1,3.155556,1.012688,0.985553,1.012688,3.195595,3.109966,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,128,0,omp_for,gpu_warp32,128,32,24.311111,4.485063,4.480142,11.450981,109.036855,108.917235,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,32,0,omp_for,gpu_scalar,128,1,6.177778,1.499518,1.483033,2.483763,9.263690,9.161851,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,8,0,omp_for,cpu_scalar,64,1,3.288889,1.031734,0.972028,1.031734,3.393257,3.196893,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,32,0,omp_for,cpu_avx512,64,8,12.355556,2.482356,2.462010,5.426897,30.670887,30.419502,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,8,0,omp_for,gpu_scalar,128,1,1.644444,0.515233,0.485832,0.515233,0.847272,0.798924,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,64,0,omp_collapse2,cpu_scalar,64,1,24.444444,4.470401,4.459567,11.400654,109.276466,109.011641,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,16,0,omp_for,cpu_avx512,64,8,6.311111,1.502297,1.466022,2.469882,9.481162,9.252230,0.054688,0.6000,0.4000,0.0500,4,460800
90,0,64,0,omp_collapse2,gpu_warp32,128,32,12.222222,2.490561,2.481316,5.463626,30.440184,30.327199,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,128,0,omp_collapse2,gpu_warp32,128,32,24.311111,4.485063,4.480142,11.450981,109.036855,108.917235,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,64,0,omp_for,gpu_scalar,128,1,12.222222,2.490561,2.481316,5.463626,30.440184,30.327199,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,128,0,omp_collapse2,cpu_scalar,64,1,48.622222,8.463486,8.457891,23.385071,411.513486,411.241433,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,128,0,omp_for,gpu_scalar,128,1,24.311111,4.485063,4.480142,11.450981,109.036855,108.917235,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,8,0,omp_for,cpu_avx512,64,8,3.288889,1.031734,0.972028,1.031734,3.393257,3.196893,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,32,0,omp_collapse2,gpu_warp32,128,32,6.177778,1.499518,1.483033,2.483763,9.263690,9.161851,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,32,0,omp_collapse2,cpu_scalar,64,1,12.355556,2.482356,2.462010,5.426897,30.670887,30.419502,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,128,0,omp_collapse2,gpu_scalar,128,1,24.311111,4.485063,4.480142,11.450981,109.036855,108.917235,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,64,0,omp_collapse2,cpu_avx512,64,8,24.444444,4.470401,4.459567,11.400654,109.276466,109.011641,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,64,0,omp_for,gpu_warp32,128,32,12.222222,2.490561,2.481316,5.463626,30.440184,30.327199,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,64,0,omp_for,cpu_avx512,64,8,24.444444,4.470401,4.459567,11.400654,109.276466,109.011641,0.218750,0.6000,0.4000,0.0500,4,115200
90,0,32,0,omp_for,gpu_warp32,128,32,6.177778,1.499518,1.483033,2.483763,9.263690,9.161851,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,8,0,omp_collapse2,gpu_warp32,128,32,1.644444,0.515233,0.485832,0.515233,0.847272,0.798924,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,8,0,omp_collapse2,cpu_scalar,64,1,3.288889,1.031734,0.972028,1.031734,3.393257,3.196893,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,128,0,omp_collapse2,cpu_avx512,64,8,48.622222,8.463486,8.457891,23.385071,411.513486,411.241433,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,32,0,omp_collapse2,cpu_avx512,64,8,12.355556,2.482356,2.462010,5.426897,30.670887,30.419502,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,128,0,omp_for,cpu_scalar,64,1,48.622222,8.463486,8.457891,23.385071,411.513486,411.241433,0.437500,0.6000,0.4000,0.0500,4,57600
90,0,8,0,omp_collapse2,cpu_avx512,64,8,3.288889,1.031734,0.972028,1.031734,3.393257,3.196893,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,8,0,omp_collapse2,gpu_scalar,128,1,1.644444,0.515233,0.485832,0.515233,0.847272,0.798924,0.027344,0.6000,0.4000,0.0500,4,921600
90,0,32,0,omp_collapse2,gpu_scalar,128,1,6.177778,1.499518,1.483033,2.483763,9.263690,9.161851,0.109375,0.6000,0.4000,0.0500,4,230400
90,0,128,0,omp_for,cpu_avx512,64,8,48.622222,8.463486,8.457891,23.385071,411.513486,411.241433,0.437500,0.6000,0.4000,0.0500,4,57600
