variant,blocksize,ngms,rhoc_size,nthreads,rep,time_ms
baseline_aos,1,55191,120000,96,0,4.571199
baseline_aos,1,55191,120000,96,1,4.301071
baseline_aos,1,55191,120000,96,2,4.261017
baseline_aos,1,55191,120000,96,3,8.154869
baseline_aos,1,55191,120000,96,4,4.493952
baseline_aos,1,55191,120000,96,5,4.439116
baseline_aos,1,55191,120000,96,6,6.343126
baseline_aos,1,55191,120000,96,7,5.640984
baseline_aos,1,55191,120000,96,8,3.958941
baseline_aos,1,55191,120000,96,9,3.922939
baseline_aos,1,55191,120000,96,10,3.968954
baseline_aos,1,55191,120000,96,11,4.619122
baseline_aos,1,55191,120000,96,12,3.849030
baseline_aos,1,55191,120000,96,13,3.822088
baseline_aos,1,55191,120000,96,14,4.001856
baseline_aos,1,55191,120000,96,15,5.646944
baseline_aos,1,55191,120000,96,16,4.600048
baseline_aos,1,55191,120000,96,17,3.838062
baseline_aos,1,55191,120000,96,18,3.975153
baseline_aos,1,55191,120000,96,19,3.839970
baseline_aos,1,55191,120000,96,20,3.788948
baseline_aos,1,55191,120000,96,21,4.876852
baseline_aos,1,55191,120000,96,22,3.884077
baseline_aos,1,55191,120000,96,23,3.949165
baseline_aos,1,55191,120000,96,24,5.590916
baseline_aos,1,55191,120000,96,25,3.810167
baseline_aos,1,55191,120000,96,26,3.790855
baseline_aos,1,55191,120000,96,27,3.865957
baseline_aos,1,55191,120000,96,28,5.457878
baseline_aos,1,55191,120000,96,29,4.262924
baseline_aos,1,55191,120000,96,30,3.751040
baseline_aos,1,55191,120000,96,31,3.769875
baseline_aos,1,55191,120000,96,32,5.589008
baseline_aos,1,55191,120000,96,33,3.810167
baseline_aos,1,55191,120000,96,34,3.733873
baseline_aos,1,55191,120000,96,35,3.802061
baseline_aos,1,55191,120000,96,36,3.746033
baseline_aos,1,55191,120000,96,37,3.732920
baseline_aos,1,55191,120000,96,38,3.694057
baseline_aos,1,55191,120000,96,39,3.823996
baseline_aos,1,55191,120000,96,40,4.961967
baseline_aos,1,55191,120000,96,41,4.289150
baseline_aos,1,55191,120000,96,42,3.663063
baseline_aos,1,55191,120000,96,43,3.670931
baseline_aos,1,55191,120000,96,44,5.154133
baseline_aos,1,55191,120000,96,45,3.794909
baseline_aos,1,55191,120000,96,46,3.705025
baseline_aos,1,55191,120000,96,47,3.785849
baseline_aos,1,55191,120000,96,48,4.818916
baseline_aos,1,55191,120000,96,49,3.701925
baseline_aos,1,55191,120000,96,50,3.791809
baseline_aos,1,55191,120000,96,51,3.763914
baseline_aos,1,55191,120000,96,52,3.702164
baseline_aos,1,55191,120000,96,53,3.829002
baseline_aos,1,55191,120000,96,54,3.826857
baseline_aos,1,55191,120000,96,55,3.710032
baseline_aos,1,55191,120000,96,56,3.843784
