variant,tblock,coarsen,rep,time_ms
gpu_baseline_aos,32,1,0,0.727744
gpu_baseline_aos,32,1,1,0.725120
gpu_baseline_aos,32,1,2,0.726048
gpu_baseline_aos,32,1,3,0.727776
gpu_baseline_aos,32,1,4,0.728864
gpu_baseline_aos,32,1,5,0.723136
gpu_baseline_aos,32,1,6,0.726528
gpu_baseline_aos,32,1,7,0.726304
gpu_baseline_aos,32,1,8,0.726112
gpu_baseline_aos,32,1,9,0.724768
gpu_baseline_aos,32,1,10,0.726816
gpu_baseline_aos,32,1,11,0.724960
gpu_baseline_aos,32,1,12,0.726016
gpu_baseline_aos,32,1,13,0.727392
gpu_baseline_aos,32,1,14,0.725152
gpu_baseline_aos,32,1,15,0.726176
gpu_baseline_aos,32,1,16,0.726272
gpu_baseline_aos,32,1,17,0.726112
gpu_baseline_aos,32,1,18,0.726432
gpu_baseline_aos,32,1,19,0.726464
gpu_baseline_aos,32,1,20,0.723936
gpu_baseline_aos,32,1,21,0.723552
gpu_baseline_aos,32,1,22,0.725024
gpu_baseline_aos,32,1,23,0.724032
gpu_baseline_aos,32,1,24,0.725344
gpu_baseline_aos,32,1,25,0.727168
gpu_baseline_aos,32,1,26,0.725728
gpu_baseline_aos,32,1,27,0.724256
gpu_baseline_aos,32,1,28,0.724000
gpu_baseline_aos,32,1,29,0.724192
gpu_baseline_aos,32,1,30,0.723264
gpu_baseline_aos,32,1,31,0.724448
gpu_baseline_aos,32,1,32,0.723392
gpu_baseline_aos,32,1,33,0.726176
gpu_baseline_aos,32,1,34,0.724832
gpu_baseline_aos,32,1,35,0.725792
gpu_baseline_aos,32,1,36,0.726048
gpu_baseline_aos,32,1,37,0.723520
gpu_baseline_aos,32,1,38,0.726528
gpu_baseline_aos,32,1,39,0.722336
gpu_baseline_aos,32,1,40,0.727200
gpu_baseline_aos,32,1,41,0.721824
gpu_baseline_aos,32,1,42,0.721632
gpu_baseline_aos,32,1,43,0.725312
gpu_baseline_aos,32,1,44,0.726080
gpu_baseline_aos,32,1,45,0.725216
gpu_baseline_aos,32,1,46,0.725376
gpu_baseline_aos,32,1,47,0.722368
gpu_baseline_aos,32,1,48,0.722784
gpu_baseline_aos,32,1,49,0.726176
gpu_baseline_aos,32,1,50,0.725760
gpu_baseline_aos,32,1,51,0.726848
gpu_baseline_aos,32,1,52,0.723040
gpu_baseline_aos,32,1,53,0.727072
gpu_baseline_aos,32,1,54,0.724768
gpu_baseline_aos,32,1,55,0.722880
gpu_baseline_aos,32,1,56,0.722176
gpu_baseline_aos,32,1,57,0.725792
gpu_baseline_aos,32,1,58,0.724224
gpu_baseline_aos,32,1,59,0.724448
gpu_baseline_aos,32,1,60,0.725568
gpu_baseline_aos,32,1,61,0.725088
gpu_baseline_aos,32,1,62,0.727424
gpu_baseline_aos,32,1,63,0.725696
gpu_baseline_aos,32,1,64,0.724896
gpu_baseline_aos,32,1,65,0.724736
gpu_baseline_aos,32,1,66,0.725344
gpu_baseline_aos,32,1,67,0.726208
gpu_baseline_aos,32,1,68,0.725152
gpu_baseline_aos,32,1,69,0.723200
gpu_baseline_aos,32,1,70,0.723168
gpu_baseline_aos,32,1,71,0.725280
gpu_baseline_aos,32,1,72,0.724896
gpu_baseline_aos,32,1,73,0.726144
gpu_baseline_aos,32,1,74,0.723104
gpu_baseline_aos,32,1,75,0.727328
gpu_baseline_aos,32,1,76,0.727712
gpu_baseline_aos,32,1,77,0.721728
gpu_baseline_aos,32,1,78,0.723168
gpu_baseline_aos,32,1,79,0.726336
gpu_baseline_aos,32,1,80,0.723968
gpu_baseline_aos,32,1,81,0.725056
gpu_baseline_aos,32,1,82,0.720320
gpu_baseline_aos,32,1,83,0.723072
gpu_baseline_aos,32,1,84,0.722848
gpu_baseline_aos,32,1,85,0.725024
gpu_baseline_aos,32,1,86,0.723328
gpu_baseline_aos,32,1,87,0.724448
gpu_baseline_aos,32,1,88,0.725568
gpu_baseline_aos,32,1,89,0.725152
gpu_baseline_aos,32,1,90,0.724608
gpu_baseline_aos,32,1,91,0.727776
gpu_baseline_aos,32,1,92,0.723328
gpu_baseline_aos,32,1,93,0.723008
gpu_baseline_aos,32,1,94,0.722464
gpu_baseline_aos,32,1,95,0.724576
gpu_baseline_aos,32,1,96,0.722432
gpu_baseline_aos,32,1,97,0.723680
gpu_baseline_aos,32,1,98,0.724864
gpu_baseline_aos,32,1,99,0.726656
gpu_baseline_aos_u,32,1,0,0.727712
gpu_baseline_aos_u,32,1,1,0.724448
gpu_baseline_aos_u,32,1,2,0.725440
gpu_baseline_aos_u,32,1,3,0.726592
gpu_baseline_aos_u,32,1,4,0.727424
gpu_baseline_aos_u,32,1,5,0.725664
gpu_baseline_aos_u,32,1,6,0.725472
gpu_baseline_aos_u,32,1,7,0.724160
gpu_baseline_aos_u,32,1,8,0.724000
gpu_baseline_aos_u,32,1,9,0.724960
gpu_baseline_aos_u,32,1,10,0.724416
gpu_baseline_aos_u,32,1,11,0.723808
gpu_baseline_aos_u,32,1,12,0.726240
gpu_baseline_aos_u,32,1,13,0.727392
gpu_baseline_aos_u,32,1,14,0.725184
gpu_baseline_aos_u,32,1,15,0.722944
gpu_baseline_aos_u,32,1,16,0.726624
gpu_baseline_aos_u,32,1,17,0.724672
gpu_baseline_aos_u,32,1,18,0.723616
gpu_baseline_aos_u,32,1,19,0.724896
gpu_baseline_aos_u,32,1,20,0.724512
gpu_baseline_aos_u,32,1,21,0.726752
gpu_baseline_aos_u,32,1,22,0.724320
gpu_baseline_aos_u,32,1,23,0.721792
gpu_baseline_aos_u,32,1,24,0.724000
gpu_baseline_aos_u,32,1,25,0.725824
gpu_baseline_aos_u,32,1,26,0.728224
gpu_baseline_aos_u,32,1,27,0.725184
gpu_baseline_aos_u,32,1,28,0.724320
gpu_baseline_aos_u,32,1,29,0.721760
gpu_baseline_aos_u,32,1,30,0.726176
gpu_baseline_aos_u,32,1,31,0.725728
gpu_baseline_aos_u,32,1,32,0.723008
gpu_baseline_aos_u,32,1,33,0.726368
gpu_baseline_aos_u,32,1,34,0.726880
gpu_baseline_aos_u,32,1,35,0.722976
gpu_baseline_aos_u,32,1,36,0.725088
gpu_baseline_aos_u,32,1,37,0.727040
gpu_baseline_aos_u,32,1,38,0.724864
gpu_baseline_aos_u,32,1,39,0.728224
gpu_baseline_aos_u,32,1,40,0.727936
gpu_baseline_aos_u,32,1,41,0.724736
gpu_baseline_aos_u,32,1,42,0.724864
gpu_baseline_aos_u,32,1,43,0.726784
gpu_baseline_aos_u,32,1,44,0.725952
gpu_baseline_aos_u,32,1,45,0.727904
gpu_baseline_aos_u,32,1,46,0.724416
gpu_baseline_aos_u,32,1,47,0.725472
gpu_baseline_aos_u,32,1,48,0.726176
gpu_baseline_aos_u,32,1,49,0.723136
gpu_baseline_aos_u,32,1,50,0.726560
gpu_baseline_aos_u,32,1,51,0.724800
gpu_baseline_aos_u,32,1,52,0.724288
gpu_baseline_aos_u,32,1,53,0.723808
gpu_baseline_aos_u,32,1,54,0.725120
gpu_baseline_aos_u,32,1,55,0.723552
