backend,V,nlev,N_e,cell_dist,config_label,run_label,run_id,time_ms
gpu,1,256,163840,uniform,V1_bx32_by04,run78,78,1.105664
gpu,1,256,163840,uniform,V1_bx32_by04,run79,79,1.103488
gpu,1,256,163840,uniform,V1_bx32_by04,run80,80,1.103616
gpu,1,256,163840,uniform,V1_bx32_by04,run81,81,1.103872
gpu,1,256,163840,uniform,V1_bx32_by04,run82,82,1.104448
gpu,1,256,163840,uniform,V1_bx32_by04,run83,83,1.105696
gpu,1,256,163840,uniform,V1_bx32_by04,run84,84,1.103744
gpu,1,256,163840,uniform,V1_bx32_by04,run85,85,1.103776
gpu,1,256,163840,uniform,V1_bx32_by04,run86,86,1.104096
gpu,1,256,163840,uniform,V1_bx32_by04,run87,87,1.104992
gpu,1,256,163840,uniform,V1_bx32_by04,run88,88,1.103552
gpu,1,256,163840,uniform,V1_bx32_by04,run89,89,1.104640
gpu,1,256,163840,uniform,V1_bx32_by04,run90,90,1.105664
gpu,1,256,163840,uniform,V1_bx32_by04,run91,91,1.104032
gpu,1,256,163840,uniform,V1_bx32_by04,run92,92,1.104224
gpu,1,256,163840,uniform,V1_bx32_by04,run93,93,1.104416
gpu,1,256,163840,uniform,V1_bx32_by04,run94,94,1.105280
gpu,1,256,163840,uniform,V1_bx32_by04,run95,95,1.103520
gpu,1,256,163840,uniform,V1_bx32_by04,run96,96,1.103744
gpu,1,256,163840,uniform,V1_bx32_by04,run97,97,1.105440
gpu,1,256,163840,uniform,V1_bx32_by04,run98,98,1.104000
gpu,1,256,163840,uniform,V1_bx32_by04,run99,99,1.104160
gpu,1,256,163840,uniform,V1_bx32_by08,run0,0,1.131392
gpu,1,256,163840,uniform,V1_bx32_by08,run1,1,1.129184
gpu,1,256,163840,uniform,V1_bx32_by08,run2,2,1.130048
gpu,1,256,163840,uniform,V1_bx32_by08,run3,3,1.131808
gpu,1,256,163840,uniform,V1_bx32_by08,run4,4,1.129728
gpu,1,256,163840,uniform,V1_bx32_by08,run5,5,1.131520
gpu,1,256,163840,uniform,V1_bx32_by08,run6,6,1.129088
gpu,1,256,163840,uniform,V1_bx32_by08,run7,7,1.128704
gpu,1,256,163840,uniform,V1_bx32_by08,run8,8,1.129472
gpu,1,256,163840,uniform,V1_bx32_by08,run9,9,1.130464
gpu,1,256,163840,uniform,V1_bx32_by08,run10,10,1.128608
gpu,1,256,163840,uniform,V1_bx32_by08,run11,11,1.129152
gpu,1,256,163840,uniform,V1_bx32_by08,run12,12,1.129376
gpu,1,256,163840,uniform,V1_bx32_by08,run13,13,1.130016
gpu,1,256,163840,uniform,V1_bx32_by08,run14,14,1.129056
gpu,1,256,163840,uniform,V1_bx32_by08,run15,15,1.129184
gpu,1,256,163840,uniform,V1_bx32_by08,run16,16,1.128224
gpu,1,256,163840,uniform,V1_bx32_by08,run17,17,1.129664
gpu,1,256,163840,uniform,V1_bx32_by08,run18,18,1.127872
gpu,1,256,163840,uniform,V1_bx32_by08,run19,19,1.128256
gpu,1,256,163840,uniform,V1_bx32_by08,run20,20,1.129504
gpu,1,256,163840,uniform,V1_bx32_by08,run21,21,1.129888
gpu,1,256,163840,uniform,V1_bx32_by08,run22,22,1.129376
gpu,1,256,163840,uniform,V1_bx32_by08,run23,23,1.129760
gpu,1,256,163840,uniform,V1_bx32_by08,run24,24,1.128512
gpu,1,256,163840,uniform,V1_bx32_by08,run25,25,1.129536
gpu,1,256,163840,uniform,V1_bx32_by08,run26,26,1.129408
gpu,1,256,163840,uniform,V1_bx32_by08,run27,27,1.130272
gpu,1,256,163840,uniform,V1_bx32_by08,run28,28,1.129504
gpu,1,256,163840,uniform,V1_bx32_by08,run29,29,1.128160
gpu,1,256,163840,uniform,V1_bx32_by08,run30,30,1.129408
gpu,1,256,163840,uniform,V1_bx32_by08,run31,31,1.131072
gpu,1,256,163840,uniform,V1_bx32_by08,run32,32,1.128864
gpu,1,256,163840,uniform,V1_bx32_by08,run33,33,1.129184
gpu,1,256,163840,uniform,V1_bx32_by08,run34,34,1.129664
gpu,1,256,163840,uniform,V1_bx32_by08,run35,35,1.128704
gpu,1,256,163840,uniform,V1_bx32_by08,run36,36,1.127616
gpu,1,256,163840,uniform,V1_bx32_by08,run37,37,1.127840
gpu,1,256,163840,uniform,V1_bx32_by08,run38,38,1.127040
gpu,1,256,163840,uniform,V1_bx32_by08,run39,39,1.129440
gpu,1,256,163840,uniform,V1_bx32_by08,run40,40,1.127840
gpu,1,256,163840,uniform,V1_bx32_by08,run41,41,1.129472
gpu,1,256,163840,uniform,V1_bx32_by08,run42,42,1.129664
gpu,1,256,163840,uniform,V1_bx32_by08,run43,43,1.127936
gpu,1,256,163840,uniform,V1_bx32_by08,run44,44,1.128736
gpu,1,256,163840,uniform,V1_bx32_by08,run45,45,1.129888
gpu,1,256,163840,uniform,V1_bx32_by08,run46,46,1.127584
gpu,1,256,163840,uniform,V1_bx32_by08,run47,47,1.129152
