backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,je_outer,0,0.119381
cpu,1,256,163840,uniform,V1,je_outer,1,0.127540
cpu,1,256,163840,uniform,V1,je_outer,2,0.121280
cpu,1,256,163840,uniform,V1,je_outer,3,0.120681
cpu,1,256,163840,uniform,V1,je_outer,4,0.119180
cpu,1,256,163840,uniform,V1,je_outer,5,0.117930
cpu,1,256,163840,uniform,V1,je_outer,6,0.118350
cpu,1,256,163840,uniform,V1,je_outer,7,0.119100
cpu,1,256,163840,uniform,V1,je_outer,8,0.117751
cpu,1,256,163840,uniform,V1,je_outer,9,0.117640
cpu,1,256,163840,uniform,V1,je_outer,10,0.123351
cpu,1,256,163840,uniform,V1,je_outer,11,0.122361
cpu,1,256,163840,uniform,V1,je_outer,12,0.121080
cpu,1,256,163840,uniform,V1,je_outer,13,0.120061
cpu,1,256,163840,uniform,V1,je_outer,14,0.119781
cpu,1,256,163840,uniform,V1,je_outer,15,0.118031
cpu,1,256,163840,uniform,V1,je_outer,16,0.117180
cpu,1,256,163840,uniform,V1,je_outer,17,0.119860
cpu,1,256,163840,uniform,V1,je_outer,18,0.119440
cpu,1,256,163840,uniform,V1,je_outer,19,0.118961
cpu,1,256,163840,uniform,V1,je_outer,20,0.118741
cpu,1,256,163840,uniform,V1,je_outer,21,0.119870
cpu,1,256,163840,uniform,V1,je_outer,22,0.118061
cpu,1,256,163840,uniform,V1,je_outer,23,0.117920
cpu,1,256,163840,uniform,V1,je_outer,24,0.118760
cpu,1,256,163840,uniform,V1,je_outer,25,0.120081
cpu,1,256,163840,uniform,V1,je_outer,26,0.121980
cpu,1,256,163840,uniform,V1,je_outer,27,0.123120
cpu,1,256,163840,uniform,V1,je_outer,28,0.126860
cpu,1,256,163840,uniform,V1,je_outer,29,0.133130
cpu,1,256,163840,uniform,V1,je_outer,30,0.117281
cpu,1,256,163840,uniform,V1,je_outer,31,0.117250
cpu,1,256,163840,uniform,V1,je_outer,32,0.118661
cpu,1,256,163840,uniform,V1,je_outer,33,0.116980
cpu,1,256,163840,uniform,V1,je_outer,34,0.133511
cpu,1,256,163840,uniform,V1,je_outer,35,0.122900
cpu,1,256,163840,uniform,V1,je_outer,36,0.120211
cpu,1,256,163840,uniform,V1,je_outer,37,0.123760
cpu,1,256,163840,uniform,V1,je_outer,38,0.122911
cpu,1,256,163840,uniform,V1,je_outer,39,0.120081
cpu,1,256,163840,uniform,V1,je_outer,40,0.117201
cpu,1,256,163840,uniform,V1,je_outer,41,0.118500
cpu,1,256,163840,uniform,V1,je_outer,42,0.119451
cpu,1,256,163840,uniform,V1,je_outer,43,0.117191
cpu,1,256,163840,uniform,V1,je_outer,44,0.117510
cpu,1,256,163840,uniform,V1,je_outer,45,0.136451
cpu,1,256,163840,uniform,V1,je_outer,46,0.119970
cpu,1,256,163840,uniform,V1,je_outer,47,0.118191
cpu,1,256,163840,uniform,V1,je_outer,48,0.117431
cpu,1,256,163840,uniform,V1,je_outer,49,0.120881
cpu,1,256,163840,uniform,V1,je_outer,50,0.119430
cpu,1,256,163840,uniform,V1,je_outer,51,0.118011
cpu,1,256,163840,uniform,V1,je_outer,52,0.119340
cpu,1,256,163840,uniform,V1,je_outer,53,0.120530
cpu,1,256,163840,uniform,V1,je_outer,54,0.118070
cpu,1,256,163840,uniform,V1,je_outer,55,0.118380
cpu,1,256,163840,uniform,V1,je_outer,56,0.116941
cpu,1,256,163840,uniform,V1,je_outer,57,0.118231
cpu,1,256,163840,uniform,V1,je_outer,58,0.120140
cpu,1,256,163840,uniform,V1,je_outer,59,0.123751
cpu,1,256,163840,uniform,V1,je_outer,60,0.130421
cpu,1,256,163840,uniform,V1,je_outer,61,0.122640
cpu,1,256,163840,uniform,V1,je_outer,62,0.121220
cpu,1,256,163840,uniform,V1,je_outer,63,0.119201
cpu,1,256,163840,uniform,V1,je_outer,64,0.118080
cpu,1,256,163840,uniform,V1,je_outer,65,0.119071
cpu,1,256,163840,uniform,V1,je_outer,66,0.119550
cpu,1,256,163840,uniform,V1,je_outer,67,0.117560
cpu,1,256,163840,uniform,V1,je_outer,68,0.117051
cpu,1,256,163840,uniform,V1,je_outer,69,0.117730
