nlev,variant,blocking,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,4,0,0,omp_collapse2,gpu_scalar,128,1,3.125012,8.748539,14.037483,8.748539,27.339290,43.867304,0.000000,1.0000,0.0120,1.8000,4,7368795
90,4,0,0,omp_collapse2,cpu_scalar,64,1,3.250012,17.197074,27.547446,17.197074,55.890689,89.529517,0.000000,1.0000,0.0120,1.8000,4,7368795
90,3,0,0,omp_collapse2,cpu_scalar,64,1,3.250012,17.197074,27.547446,17.197074,55.890689,89.529517,0.000000,1.0000,0.0120,1.8000,4,7368795
90,4,0,0,omp_for,gpu_warp32,128,32,11.375000,1.899537,2.221313,3.450786,21.607232,25.267439,0.000000,1.0000,0.0120,1.8000,4,163840
90,2,0,0,omp_for,cpu_avx512,64,8,5.000033,1.368103,1.828066,1.368103,6.840561,9.140389,0.000000,1.0000,0.0120,1.8000,4,921600
90,3,0,0,omp_collapse2,gpu_scalar,128,1,3.125012,8.748539,14.037483,8.748539,27.339290,43.867304,0.000000,1.0000,0.0120,1.8000,4,7368795
90,3,0,0,omp_collapse2,cpu_avx512,64,8,26.000178,121.357201,194.224028,194.110643,3155.308834,5049.859320,0.000000,1.0000,0.0120,1.8000,4,921060
90,3,0,0,omp_collapse2,gpu_warp32,128,32,100.000765,251.193022,401.961296,418.669041,25119.494349,40196.436399,0.000000,1.0000,0.0120,1.8000,4,230229
90,3,0,0,omp_for,gpu_warp32,128,32,11.375000,1.899537,2.221313,3.450786,21.607232,25.267439,0.000000,1.0000,0.0120,1.8000,4,163840
90,4,0,0,omp_collapse2,cpu_avx512,64,8,26.000178,121.357201,194.224028,194.110643,3155.308834,5049.859320,0.000000,1.0000,0.0120,1.8000,4,921060
90,4,0,0,omp_for,cpu_avx512,64,8,5.090909,1.293414,1.701524,1.741464,6.584653,8.662304,0.000000,1.0000,0.0120,1.8000,4,901120
90,4,0,0,omp_collapse2,gpu_warp32,128,32,100.000765,251.193022,401.961296,418.669041,25119.494349,40196.436399,0.000000,1.0000,0.0120,1.8000,4,230229
90,2,0,0,omp_for,cpu_scalar,64,1,0.625004,0.171013,0.228508,0.171013,0.106884,0.142819,0.000000,1.0000,0.0120,1.8000,4,7372800
90,2,0,0,omp_for,gpu_warp32,128,32,10.000078,2.256403,3.069766,3.256382,22.564205,30.697899,0.000000,1.0000,0.0120,1.8000,4,230400
90,2,0,0,omp_for,gpu_scalar,128,1,0.312502,0.085982,0.115050,0.085982,0.026870,0.035953,0.000000,1.0000,0.0120,1.8000,4,7372800
90,2,0,0,omp_collapse2,gpu_scalar,128,1,0.312528,0.122205,0.195513,0.122205,0.038193,0.061103,0.000000,1.0000,0.0120,1.8000,4,7368795
90,2,0,0,omp_collapse2,cpu_avx512,64,8,5.000432,1.955253,3.128165,2.821701,9.777111,15.642175,0.000000,1.0000,0.0120,1.8000,4,921060
90,2,0,0,omp_collapse2,cpu_scalar,64,1,0.625027,0.244422,0.391045,0.244422,0.152770,0.244414,0.000000,1.0000,0.0120,1.8000,4,7368795
90,2,0,0,omp_collapse2,gpu_warp32,128,32,10.001860,3.409284,5.454394,5.342989,34.099179,54.554111,0.000000,1.0000,0.0120,1.8000,4,230229
90,4,0,0,omp_for,cpu_scalar,64,1,0.644444,0.317856,0.441474,0.317856,0.204840,0.284505,0.000000,1.0000,0.0120,1.8000,4,7372800
90,4,0,0,omp_for,gpu_scalar,128,1,0.322222,0.161626,0.223055,0.161626,0.052080,0.071873,0.000000,1.0000,0.0120,1.8000,4,7372800
90,1,0,0,omp_for,cpu_scalar,64,1,0.625004,0.171013,0.228508,0.171013,0.106884,0.142819,0.000000,1.0000,0.0120,1.8000,4,7372800
90,1,0,0,omp_for,gpu_warp32,128,32,10.000078,2.256403,3.069766,3.256382,22.564205,30.697899,0.000000,1.0000,0.0120,1.8000,4,230400
90,1,0,0,omp_for,cpu_avx512,64,8,5.000033,1.368103,1.828066,1.368103,6.840561,9.140389,0.000000,1.0000,0.0120,1.8000,4,921600
90,1,0,0,omp_collapse2,cpu_avx512,64,8,5.000432,1.955253,3.128165,2.821701,9.777111,15.642175,0.000000,1.0000,0.0120,1.8000,4,921060
