P,layout,run,ms,gbps
3,AoS,0,24.759662,693.86
3,AoS,1,24.867595,690.85
3,AoS,2,24.873825,690.68
3,AoS,3,24.751184,694.10
3,AoS,4,24.932005,689.07
3,AoS,5,24.784284,693.18
3,AoS,6,24.786574,693.11
3,AoS,7,24.687392,695.90
3,AoS,8,24.714483,695.13
3,AoS,9,24.804854,692.60
3,AoS,10,24.736813,694.51
3,AoS,11,24.788793,693.05
3,AoS,12,24.766513,693.67
3,AoS,13,24.799943,692.74
3,AoS,14,24.952324,688.51
3,AoS,15,24.795633,692.86
3,AoS,16,24.702572,695.47
3,AoS,17,24.862473,691.00
3,AoS,18,24.814373,692.33
3,AoS,19,24.692732,695.75
3,AoS,20,24.751482,694.09
3,AoS,21,24.805123,692.59
3,AoS,22,24.763533,693.76
3,AoS,23,24.980794,687.72
3,AoS,24,24.766403,693.68
3,AoS,25,24.754993,694.00
3,AoS,26,24.760694,693.84
3,AoS,27,24.739693,694.42
3,AoS,28,24.813853,692.35
3,AoS,29,24.710893,695.23
3,AoS,30,24.922534,689.33
3,AoS,31,24.762572,693.78
3,AoS,32,24.756412,693.96
3,AoS,33,24.885624,690.35
3,AoS,34,24.905963,689.79
3,AoS,35,24.914694,689.55
3,AoS,36,24.803993,692.62
3,AoS,37,24.738992,694.44
3,AoS,38,24.925763,689.24
3,AoS,39,24.842183,691.56
3,AoS,40,24.743693,694.31
3,AoS,41,24.760653,693.84
3,AoS,42,24.840404,691.61
3,AoS,43,24.728013,694.75
3,AoS,44,24.721043,694.95
3,AoS,45,24.803814,692.63
3,AoS,46,24.881974,690.45
3,AoS,47,24.747364,694.21
3,AoS,48,24.824775,692.04
3,AoS,49,24.853295,691.25
3,AoS,50,24.724664,694.85
3,AoS,51,24.751775,694.09
3,AoS,52,24.947096,688.65
3,AoS,53,24.789394,693.03
3,AoS,54,24.780594,693.28
3,AoS,55,24.874895,690.65
3,AoS,56,24.888635,690.27
3,AoS,57,24.755844,693.97
3,AoS,58,24.744534,694.29
3,AoS,59,24.770933,693.55
3,AoS,60,24.851804,691.29
3,AoS,61,24.791413,692.98
3,AoS,62,24.960904,688.27
3,AoS,63,24.740012,694.42
3,AoS,64,24.950614,688.55
3,AoS,65,24.748493,694.18
3,AoS,66,24.729273,694.72
3,AoS,67,24.753372,694.04
3,AoS,68,24.930683,689.10
3,AoS,69,24.755072,693.99
3,AoS,70,24.926243,689.23
3,AoS,71,24.805183,692.59
3,AoS,72,24.812103,692.40
3,AoS,73,24.800963,692.71
3,AoS,74,24.761463,693.81
3,AoS,75,24.729372,694.71
3,AoS,76,24.781703,693.25
3,AoS,77,24.813144,692.37
3,AoS,78,24.808583,692.50
3,AoS,79,24.897604,690.02
3,AoS,80,24.815333,692.31
3,AoS,81,24.815103,692.31
3,AoS,82,24.862963,690.98
3,AoS,83,24.827913,691.96
3,AoS,84,24.806813,692.55
3,AoS,85,24.755412,693.98
3,AoS,86,24.747613,694.20
3,AoS,87,24.741272,694.38
3,AoS,88,24.726712,694.79
3,AoS,89,24.832233,691.84
3,AoS,90,24.789763,693.02
3,AoS,91,24.784963,693.16
3,AoS,92,24.938034,688.90
3,AoS,93,24.776823,693.38
3,AoS,94,24.881134,690.48
3,AoS,95,24.798544,692.78
3,AoS,96,24.718943,695.01
3,AoS,97,24.754284,694.02
3,AoS,98,24.755334,693.99
3,AoS,99,24.805264,692.59
3,SoA,0,24.814904,692.32
3,SoA,1,24.830585,691.88
3,SoA,2,24.749894,694.14
3,SoA,3,24.751504,694.09
3,SoA,4,24.822344,692.11
3,SoA,5,24.776555,693.39
3,SoA,6,24.853765,691.24
3,SoA,7,24.830734,691.88
3,SoA,8,24.830985,691.87
3,SoA,9,24.800284,692.73
3,SoA,10,24.894285,690.11
3,SoA,11,24.783315,693.20
3,SoA,12,24.823264,692.09
3,SoA,13,24.826614,691.99
3,SoA,14,24.779934,693.30
3,SoA,15,24.781324,693.26
3,SoA,16,24.753434,694.04
3,SoA,17,24.744964,694.28
3,SoA,18,24.751953,694.08
3,SoA,19,24.797083,692.82
3,SoA,20,24.813304,692.36
3,SoA,21,24.805793,692.57
3,SoA,22,24.815293,692.31
3,SoA,23,24.766413,693.68
3,SoA,24,24.791963,692.96
3,SoA,25,24.792243,692.95
3,SoA,26,24.793313,692.92
3,SoA,27,24.810243,692.45
3,SoA,28,24.814202,692.34
3,SoA,29,24.795853,692.85
3,SoA,30,24.818133,692.23
3,SoA,31,24.813093,692.37
3,SoA,32,24.845353,691.47
3,SoA,33,24.748982,694.16
3,SoA,34,24.799453,692.75
3,SoA,35,24.786433,693.12
3,SoA,36,24.788893,693.05
3,SoA,37,24.854324,691.22
3,SoA,38,24.798453,692.78
3,SoA,39,24.754893,694.00
3,SoA,40,24.810173,692.45
3,SoA,41,24.794203,692.90
3,SoA,42,24.772603,693.50
3,SoA,43,24.825543,692.02
3,SoA,44,24.813173,692.37
3,SoA,45,24.756651,693.95
3,SoA,46,24.797003,692.82
3,SoA,47,24.766084,693.68
3,SoA,48,24.732294,694.63
3,SoA,49,24.750044,694.13
3,SoA,50,24.789693,693.02
3,SoA,51,24.774395,693.45
3,SoA,52,24.843485,691.52
3,SoA,53,24.852985,691.26
3,SoA,54,24.819645,692.19
3,SoA,55,24.793565,692.92
3,SoA,56,24.786545,693.11
3,SoA,57,24.811455,692.42
3,SoA,58,24.820314,692.17
3,SoA,59,24.812924,692.38
3,SoA,60,24.777234,693.37
3,SoA,61,24.805114,692.59
3,SoA,62,24.805794,692.57
3,SoA,63,24.794903,692.88
3,SoA,64,24.762823,693.78
3,SoA,65,24.767803,693.64
3,SoA,66,24.721253,694.94
3,SoA,67,24.818223,692.23
3,SoA,68,24.818693,692.21
3,SoA,69,24.813723,692.35
3,SoA,70,24.777923,693.35
3,SoA,71,24.805143,692.59
3,SoA,72,24.803093,692.65
3,SoA,73,24.784213,693.18
3,SoA,74,24.807213,692.53
3,SoA,75,24.823693,692.07
3,SoA,76,24.784723,693.16
3,SoA,77,24.817723,692.24
3,SoA,78,24.773463,693.48
3,SoA,79,24.718402,695.02
3,SoA,80,24.784113,693.18
3,SoA,81,24.794083,692.90
3,SoA,82,24.781423,693.26
3,SoA,83,24.799703,692.74
3,SoA,84,24.835994,691.73
3,SoA,85,24.769213,693.60
3,SoA,86,24.797933,692.79
3,SoA,87,24.804643,692.61
3,SoA,88,24.797073,692.82
3,SoA,89,24.801963,692.68
3,SoA,90,24.804373,692.61
3,SoA,91,24.768203,693.63
3,SoA,92,24.830604,691.88
3,SoA,93,24.990834,687.45
3,SoA,94,24.789463,693.03
3,SoA,95,24.747383,694.21
3,SoA,96,24.750033,694.13
3,SoA,97,24.780653,693.28
3,SoA,98,24.807343,692.53
3,SoA,99,24.811303,692.42
3,AoSoA-2,0,25.050156,685.82
3,AoSoA-2,1,24.850263,691.33
3,AoSoA-2,2,24.795214,692.87
3,AoSoA-2,3,24.824524,692.05
3,AoSoA-2,4,24.929835,689.13
3,AoSoA-2,5,24.841693,691.57
3,AoSoA-2,6,24.820934,692.15
3,AoSoA-2,7,24.963254,688.21
3,AoSoA-2,8,25.043207,686.01
3,AoSoA-2,9,25.050795,685.80
3,AoSoA-2,10,24.900713,689.93
3,AoSoA-2,11,24.987474,687.54
3,AoSoA-2,12,24.854763,691.21
3,AoSoA-2,13,25.052285,685.76
3,AoSoA-2,14,24.769641,693.59
3,AoSoA-2,15,25.130234,683.63
3,AoSoA-2,16,25.143755,683.27
3,AoSoA-2,17,24.760763,693.83
3,AoSoA-2,18,24.784984,693.16
3,AoSoA-2,19,24.892914,690.15
3,AoSoA-2,20,24.722043,694.92
3,AoSoA-2,21,24.926094,689.23
3,AoSoA-2,22,24.931424,689.08
3,AoSoA-2,23,25.099126,684.48
3,AoSoA-2,24,24.851554,691.30
3,AoSoA-2,25,24.849153,691.37
3,AoSoA-2,26,24.959933,688.30
3,AoSoA-2,27,24.825473,692.03
3,AoSoA-2,28,24.989924,687.47
3,AoSoA-2,29,24.992634,687.40
3,AoSoA-2,30,25.097464,684.53
3,AoSoA-2,31,24.908044,689.73
3,AoSoA-2,32,24.835404,691.75
3,AoSoA-2,33,24.849234,691.36
3,AoSoA-2,34,24.936705,688.94
3,AoSoA-2,35,24.813425,692.36
3,AoSoA-2,36,24.902695,689.88
3,AoSoA-2,37,24.867905,690.84
3,AoSoA-2,38,25.117216,683.99
3,AoSoA-2,39,24.923964,689.29
3,AoSoA-2,40,24.828744,691.93
3,AoSoA-2,41,24.921994,689.35
3,AoSoA-2,42,24.800213,692.73
3,AoSoA-2,43,24.902614,689.88
3,AoSoA-2,44,24.804593,692.61
3,AoSoA-2,45,25.185316,682.14
3,AoSoA-2,46,25.149496,683.11
3,AoSoA-2,47,24.908765,689.71
3,AoSoA-2,48,24.764524,693.73
3,AoSoA-2,49,24.993935,687.36
3,AoSoA-2,50,24.976586,687.84
3,AoSoA-2,51,25.048036,685.88
3,AoSoA-2,52,24.810524,692.44
3,AoSoA-2,53,24.816824,692.27
3,AoSoA-2,54,24.842774,691.54
3,AoSoA-2,55,24.947094,688.65
3,AoSoA-2,56,24.786833,693.10
3,AoSoA-2,57,24.855594,691.19
3,AoSoA-2,58,24.819993,692.18
3,AoSoA-2,59,24.947394,688.64
3,AoSoA-2,60,24.817683,692.24
3,AoSoA-2,61,24.801643,692.69
3,AoSoA-2,62,24.897553,690.02
3,AoSoA-2,63,24.819543,692.19
3,AoSoA-2,64,24.880073,690.51
3,AoSoA-2,65,24.806673,692.55
3,AoSoA-2,66,24.859244,691.09
3,AoSoA-2,67,24.843364,691.53
3,AoSoA-2,68,24.903064,689.87
3,AoSoA-2,69,24.857004,691.15
3,AoSoA-2,70,24.890764,690.21
3,AoSoA-2,71,24.996475,687.29
3,AoSoA-2,72,24.823553,692.08
3,AoSoA-2,73,24.936224,688.95
3,AoSoA-2,74,24.927943,689.18
3,AoSoA-2,75,24.810493,692.44
3,AoSoA-2,76,24.842663,691.55
3,AoSoA-2,77,24.853793,691.24
3,AoSoA-2,78,25.099105,684.48
3,AoSoA-2,79,24.917354,689.47
3,AoSoA-2,80,24.956534,688.39
3,AoSoA-2,81,24.927564,689.19
3,AoSoA-2,82,24.811073,692.43
3,AoSoA-2,83,25.010565,686.90
3,AoSoA-2,84,24.815273,692.31
3,AoSoA-2,85,24.860334,691.05
3,AoSoA-2,86,24.833924,691.79
3,AoSoA-2,87,24.816604,692.27
3,AoSoA-2,88,24.849245,691.36
3,AoSoA-2,89,25.029215,686.39
3,AoSoA-2,90,24.839965,691.62
3,AoSoA-2,91,24.840095,691.62
3,AoSoA-2,92,24.767174,693.65
3,AoSoA-2,93,24.834054,691.79
3,AoSoA-2,94,24.768164,693.63
3,AoSoA-2,95,24.859574,691.08
3,AoSoA-2,96,24.999764,687.20
3,AoSoA-2,97,25.057965,685.60
3,AoSoA-2,98,24.860863,691.04
3,AoSoA-2,99,24.941414,688.81
3,AoSoA-4,0,24.976345,687.84
3,AoSoA-4,1,24.832523,691.83
3,AoSoA-4,2,24.848333,691.39
3,AoSoA-4,3,24.800513,692.72
3,AoSoA-4,4,24.827283,691.97
3,AoSoA-4,5,24.999434,687.21
3,AoSoA-4,6,24.926874,689.21
3,AoSoA-4,7,24.861654,691.02
3,AoSoA-4,8,25.030095,686.37
3,AoSoA-4,9,24.884324,690.39
3,AoSoA-4,10,24.948945,688.60
3,AoSoA-4,11,24.943666,688.75
3,AoSoA-4,12,24.990996,687.44
3,AoSoA-4,13,24.815924,692.29
3,AoSoA-4,14,24.880895,690.48
3,AoSoA-4,15,24.846505,691.44
3,AoSoA-4,16,24.822464,692.11
3,AoSoA-4,17,24.733723,694.59
3,AoSoA-4,18,24.815084,692.31
3,AoSoA-4,19,24.867194,690.86
3,AoSoA-4,20,24.830254,691.89
3,AoSoA-4,21,24.846283,691.45
3,AoSoA-4,22,24.831343,691.86
3,AoSoA-4,23,24.895704,690.07
3,AoSoA-4,24,24.785943,693.13
3,AoSoA-4,25,24.983594,687.65
3,AoSoA-4,26,24.972604,687.95
3,AoSoA-4,27,24.847193,691.42
3,AoSoA-4,28,24.813623,692.36
3,AoSoA-4,29,24.996765,687.28
3,AoSoA-4,30,24.963414,688.20
3,AoSoA-4,31,24.802064,692.68
3,AoSoA-4,32,24.828103,691.95
3,AoSoA-4,33,24.719382,695.00
3,AoSoA-4,34,24.774313,693.45
3,AoSoA-4,35,24.809233,692.48
3,AoSoA-4,36,24.930954,689.10
3,AoSoA-4,37,25.003214,687.11
3,AoSoA-4,38,24.810163,692.45
3,AoSoA-4,39,24.798703,692.77
3,AoSoA-4,40,24.842413,691.55
3,AoSoA-4,41,24.844334,691.50
3,AoSoA-4,42,24.776894,693.38
3,AoSoA-4,43,24.797684,692.80
3,AoSoA-4,44,24.896575,690.05
3,AoSoA-4,45,24.965776,688.14
3,AoSoA-4,46,24.843635,691.52
3,AoSoA-4,47,25.054966,685.69
3,AoSoA-4,48,24.962886,688.22
3,AoSoA-4,49,24.871655,690.74
3,AoSoA-4,50,24.786364,693.12
3,AoSoA-4,51,24.816644,692.27
3,AoSoA-4,52,24.911694,689.63
3,AoSoA-4,53,24.923784,689.30
3,AoSoA-4,54,25.112615,684.11
3,AoSoA-4,55,25.045544,685.94
3,AoSoA-4,56,25.040014,686.10
3,AoSoA-4,57,24.962044,688.24
3,AoSoA-4,58,25.054684,685.69
3,AoSoA-4,59,24.953243,688.48
3,AoSoA-4,60,24.928293,689.17
3,AoSoA-4,61,24.794343,692.89
3,AoSoA-4,62,24.784554,693.17
3,AoSoA-4,63,24.752793,694.06
3,AoSoA-4,64,24.851883,691.29
3,AoSoA-4,65,24.936804,688.94
3,AoSoA-4,66,24.796263,692.84
3,AoSoA-4,67,24.801073,692.71
3,AoSoA-4,68,24.806383,692.56
3,AoSoA-4,69,24.808053,692.51
3,AoSoA-4,70,24.791843,692.96
3,AoSoA-4,71,24.931033,689.10
3,AoSoA-4,72,24.849503,691.36
3,AoSoA-4,73,24.778503,693.34
3,AoSoA-4,74,25.022345,686.58
3,AoSoA-4,75,24.993486,687.37
3,AoSoA-4,76,24.991236,687.44
3,AoSoA-4,77,24.761855,693.80
3,AoSoA-4,78,24.894205,690.11
3,AoSoA-4,79,24.888514,690.27
3,AoSoA-4,80,24.825033,692.04
3,AoSoA-4,81,24.812513,692.39
3,AoSoA-4,82,24.770292,693.57
3,AoSoA-4,83,24.992734,687.39
3,AoSoA-4,84,24.893423,690.14
3,AoSoA-4,85,24.827793,691.96
3,AoSoA-4,86,24.888374,690.28
3,AoSoA-4,87,24.852404,691.28
3,AoSoA-4,88,24.885983,690.34
3,AoSoA-4,89,24.759992,693.86
3,AoSoA-4,90,24.912744,689.60
3,AoSoA-4,91,24.829473,691.91
