P,layout,run,ms,gbps
3,AoS,0,3.421130,1255.42
3,AoS,1,3.213090,1336.71
3,AoS,2,3.151570,1362.80
3,AoS,3,3.156969,1360.47
3,AoS,4,3.163650,1357.60
3,AoS,5,3.232410,1328.72
3,AoS,6,3.216330,1335.36
3,AoS,7,3.230850,1329.36
3,AoS,8,3.342370,1285.01
3,AoS,9,3.225410,1331.60
3,AoS,10,3.167210,1356.07
3,AoS,11,3.262490,1316.47
3,AoS,12,3.198130,1342.96
3,AoS,13,3.418210,1256.50
3,AoS,14,3.428691,1252.65
3,AoS,15,3.453531,1243.64
3,AoS,16,3.273810,1311.92
3,AoS,17,3.208130,1338.78
3,AoS,18,3.138449,1368.50
3,AoS,19,3.107769,1382.01
3,AoS,20,3.144169,1366.01
3,AoS,21,3.288130,1306.20
3,AoS,22,3.161449,1358.54
3,AoS,23,3.199329,1342.46
3,AoS,24,3.209170,1338.34
3,AoS,25,3.200889,1341.80
3,AoS,26,3.261650,1316.81
3,AoS,27,3.270850,1313.10
3,AoS,28,3.173409,1353.42
3,AoS,29,3.280690,1309.17
3,AoS,30,3.178129,1351.41
3,AoS,31,3.209410,1338.24
3,AoS,32,3.275289,1311.32
3,AoS,33,3.179810,1350.70
3,AoS,34,3.188569,1346.99
3,AoS,35,3.282170,1308.58
3,AoS,36,3.213609,1336.49
3,AoS,37,3.219449,1334.07
3,AoS,38,3.176689,1352.03
3,AoS,39,3.213368,1336.59
3,AoS,40,3.242408,1324.62
3,AoS,41,3.192528,1345.32
3,AoS,42,3.286809,1306.73
3,AoS,43,3.182369,1349.61
3,AoS,44,3.258889,1317.92
3,AoS,45,3.220169,1333.77
3,AoS,46,3.294969,1303.49
3,AoS,47,3.175769,1352.42
3,AoS,48,3.296249,1302.99
3,AoS,49,3.172409,1353.85
3,AoS,50,3.190809,1346.04
3,AoS,51,3.284129,1307.79
3,AoS,52,3.284049,1307.83
3,AoS,53,3.187769,1347.33
3,AoS,54,3.252409,1320.55
3,AoS,55,3.146608,1364.95
3,AoS,56,3.328610,1290.32
3,AoS,57,3.163488,1357.67
3,AoS,58,3.181009,1350.19
3,AoS,59,3.194328,1344.56
3,AoS,60,3.256609,1318.85
3,AoS,61,3.314929,1295.64
3,AoS,62,3.149129,1363.86
3,AoS,63,3.216009,1335.50
3,AoS,64,3.329169,1290.10
3,AoS,65,3.433570,1250.87
3,AoS,66,3.154088,1361.71
3,AoS,67,3.156849,1360.52
3,AoS,68,3.132489,1371.10
3,AoS,69,3.292449,1304.49
3,AoS,70,3.158769,1359.70
3,AoS,71,3.187569,1347.41
3,AoS,72,3.369809,1274.54
3,AoS,73,3.444890,1246.76
3,AoS,74,3.192529,1345.32
3,AoS,75,3.118168,1377.40
3,AoS,76,3.108608,1381.64
3,AoS,77,3.340049,1285.90
3,AoS,78,3.437929,1249.29
3,AoS,79,3.485169,1232.36
3,AoS,80,3.236849,1326.90
3,AoS,81,3.217128,1335.03
3,AoS,82,3.162249,1358.20
3,AoS,83,3.111849,1380.20
3,AoS,84,3.225529,1331.55
3,AoS,85,3.104849,1383.31
3,AoS,86,3.141248,1367.28
3,AoS,87,3.162729,1357.99
3,AoS,88,3.407370,1260.49
3,AoS,89,3.151168,1362.98
3,AoS,90,3.278009,1310.24
3,AoS,91,3.432250,1251.36
3,AoS,92,3.452970,1243.85
3,AoS,93,3.285329,1307.32
3,AoS,94,3.199729,1342.29
3,AoS,95,3.177408,1351.72
3,AoS,96,3.113209,1379.59
3,AoS,97,3.207209,1339.16
3,AoS,98,3.128249,1372.96
3,AoS,99,3.283529,1308.03
3,SoA,0,1.662085,2584.08
3,SoA,1,1.697045,2530.85
3,SoA,2,1.682645,2552.51
3,SoA,3,1.750364,2453.76
3,SoA,4,1.685364,2548.39
3,SoA,5,1.676605,2561.70
3,SoA,6,1.671005,2570.29
3,SoA,7,1.678844,2558.29
3,SoA,8,1.666045,2577.94
3,SoA,9,1.641725,2616.13
3,SoA,10,1.675444,2563.48
3,SoA,11,1.705005,2519.03
3,SoA,12,1.644165,2612.25
3,SoA,13,1.648164,2605.91
3,SoA,14,1.726125,2488.21
3,SoA,15,1.663205,2582.34
3,SoA,16,1.629405,2635.91
3,SoA,17,1.652324,2599.35
3,SoA,18,1.709965,2511.73
3,SoA,19,1.741605,2466.10
3,SoA,20,1.669725,2572.26
3,SoA,21,1.673484,2566.48
3,SoA,22,1.663445,2581.97
3,SoA,23,1.653565,2597.40
3,SoA,24,1.666324,2577.51
3,SoA,25,1.758125,2442.92
3,SoA,26,1.707445,2515.43
3,SoA,27,1.606804,2672.99
3,SoA,28,1.661205,2585.45
3,SoA,29,1.652764,2598.66
3,SoA,30,1.703244,2521.64
3,SoA,31,1.669644,2572.38
3,SoA,32,1.638364,2621.50
3,SoA,33,1.670085,2571.71
3,SoA,34,1.685965,2547.48
3,SoA,35,1.730845,2481.43
3,SoA,36,1.700524,2525.67
3,SoA,37,1.668765,2573.74
3,SoA,38,1.687205,2545.61
3,SoA,39,1.661125,2585.58
3,SoA,40,1.742605,2464.68
3,SoA,41,1.679804,2556.83
3,SoA,42,1.627085,2639.67
3,SoA,43,1.675925,2562.74
3,SoA,44,1.719605,2497.65
3,SoA,45,1.724844,2490.06
3,SoA,46,1.689684,2541.88
3,SoA,47,1.673525,2566.42
3,SoA,48,1.663365,2582.09
3,SoA,49,1.720325,2496.60
3,SoA,50,1.636044,2625.21
3,SoA,51,1.676885,2561.28
3,SoA,52,1.668165,2574.67
3,SoA,53,1.679324,2557.56
3,SoA,54,1.700124,2526.27
3,SoA,55,1.704005,2520.51
3,SoA,56,1.622325,2647.41
3,SoA,57,1.755765,2446.21
3,SoA,58,1.691765,2538.75
3,SoA,59,1.651564,2600.54
3,SoA,60,1.624325,2644.15
3,SoA,61,1.713965,2505.87
3,SoA,62,1.675564,2563.30
3,SoA,63,1.655765,2593.95
3,SoA,64,1.650645,2601.99
3,SoA,65,1.624164,2644.42
3,SoA,66,1.664725,2579.99
3,SoA,67,1.642805,2614.41
3,SoA,68,1.728484,2484.82
3,SoA,69,1.590804,2699.87
3,SoA,70,1.698965,2527.99
3,SoA,71,1.671565,2569.43
3,SoA,72,1.627204,2639.48
3,SoA,73,1.649325,2604.08
3,SoA,74,1.693285,2536.47
3,SoA,75,1.695245,2533.54
3,SoA,76,1.674324,2565.19
3,SoA,77,1.701285,2524.54
3,SoA,78,1.699085,2527.81
3,SoA,79,1.704925,2519.15
3,SoA,80,1.600605,2683.34
3,SoA,81,1.691444,2539.23
3,SoA,82,1.676845,2561.34
3,SoA,83,1.674445,2565.01
3,SoA,84,1.651165,2601.17
3,SoA,85,1.665644,2578.56
3,SoA,86,1.602845,2679.59
3,SoA,87,1.743405,2463.55
3,SoA,88,1.687045,2545.85
3,SoA,89,1.674525,2564.89
