id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC
23,V1,h_first,V1,h_first,V1,h_first,V6,v_first,V2,AoS,V6,v_first
24,V1,h_first,V1,h_first,V1,h_first,V6,v_first,V6,AoS,V1,h_first
25,V1,h_first,V1,h_first,V1,h_first,V6,v_first,V6,AoS,V2,h_first
26,V1,h_first,V1,h_first,V1,h_first,V6,v_first,V6,AoS,V6,v_first
27,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V1,SoA,V1,h_first
28,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V1,SoA,V2,h_first
29,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V1,SoA,V6,v_first
30,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V2,AoS,V1,h_first
31,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V2,AoS,V2,h_first
32,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V2,AoS,V6,v_first
33,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V6,AoS,V1,h_first
34,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V6,AoS,V2,h_first
35,V1,h_first,V1,h_first,V2,h_first,V1,h_first,V6,AoS,V6,v_first
36,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V1,SoA,V1,h_first
37,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V1,SoA,V2,h_first
38,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V1,SoA,V6,v_first
39,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V2,AoS,V1,h_first
40,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V2,AoS,V2,h_first
41,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V2,AoS,V6,v_first
42,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V6,AoS,V1,h_first
43,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V6,AoS,V2,h_first
44,V1,h_first,V1,h_first,V2,h_first,V2,h_first,V6,AoS,V6,v_first
45,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V1,SoA,V1,h_first
46,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V1,SoA,V2,h_first
47,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V1,SoA,V6,v_first
48,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V1,h_first
49,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V2,h_first
50,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V6,v_first
51,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V1,h_first
52,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V2,h_first
53,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V6,v_first
54,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V1,h_first
55,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V2,h_first
