id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC,n_groups_with_evidence
50,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V2,AoS,V6,v_first,4
51,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V1,h_first,4
52,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V2,h_first,4
53,V1,h_first,V1,h_first,V2,h_first,V6,v_first,V6,AoS,V6,v_first,4
54,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V1,h_first,4
55,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V2,h_first,4
56,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V1,SoA,V6,v_first,4
57,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V1,h_first,4
58,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V2,h_first,4
59,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V2,AoS,V6,v_first,4
60,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V1,h_first,4
61,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V2,h_first,4
62,V1,h_first,V1,h_first,V6,v_first,V1,h_first,V6,AoS,V6,v_first,4
63,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V1,h_first,4
64,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V2,h_first,4
65,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V1,SoA,V6,v_first,4
66,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V1,h_first,4
67,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V2,h_first,4
68,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V2,AoS,V6,v_first,4
69,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V6,AoS,V1,h_first,4
70,V1,h_first,V1,h_first,V6,v_first,V2,h_first,V6,AoS,V2,h_first,4
